repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,17,0,96,False,pca96,0.001,0.508135753838234
0,17,0,96,False,pca96,0.005,0.5192394296544269
0,17,0,96,False,pca96,0.01,0.529428093417762
0,17,0,96,True,pca96,0.02,0.5349796523891341
0,17,0,160,False,pca160,0.001,0.4696855317067697
0,17,0,160,True,pca160,0.005,0.4749275418625377
0,17,0,160,False,pca160,0.01,0.46950378731363074
0,17,0,160,False,pca160,0.02,0.46949228864122483
0,17,0,192,False,pca192,0.001,0.47487967745072707
0,17,0,192,False,pca192,0.005,0.4854215918045705
0,17,0,192,False,pca192,0.01,0.4907125970955758
0,17,0,192,True,pca192,0.02,0.49603174603174605
0,17,0,224,False,pca224,0.001,0.5014637238663856
0,17,0,224,False,pca224,0.005,0.5068408511181309
0,17,0,224,True,pca224,0.01,0.5228482601605007
0,17,0,224,False,pca224,0.02,0.5228482601605007
0,17,0,240,False,pca240,0.001,0.5174539926906446
0,17,0,240,True,pca240,0.005,0.5285105264893979
0,17,0,240,False,pca240,0.01,0.5233469983915267
0,17,0,240,False,pca240,0.02,0.5178896059943818
0,17,1,96,True,pca96,0.001,0.46464939998265575
0,17,1,96,False,pca96,0.005,0.443922345944836
0,17,1,96,False,pca96,0.01,0.4490900471756496
0,17,1,96,False,pca96,0.02,0.45426684421623437
0,17,1,160,False,pca160,0.001,0.40754414484351803
0,17,1,160,True,pca160,0.005,0.4182057327004333
0,17,1,160,False,pca160,0.01,0.4182057327004333
0,17,1,160,False,pca160,0.02,0.4028584029825915
0,17,1,192,False,pca192,0.001,0.45176478843415957
0,17,1,192,True,pca192,0.005,0.4624656759209451
0,17,1,192,False,pca192,0.01,0.43998852466655175
0,17,1,192,False,pca192,0.02,0.457428527946015
0,17,1,224,False,pca224,0.001,0.45176478843415957
0,17,1,224,True,pca224,0.005,0.483246078350852
0,17,1,224,False,pca224,0.01,0.4776170926296669
0,17,1,224,False,pca224,0.02,0.4720087950093785
0,17,1,240,False,pca240,0.001,0.4852855061549324
0,17,1,240,True,pca240,0.005,0.4888963063266257
0,17,1,240,False,pca240,0.01,0.4888963063266257
0,17,1,240,False,pca240,0.02,0.48217525984192505
0,17,2,96,False,pca96,0.001,0.432685146510535
0,17,2,96,True,pca96,0.005,0.43835853771804917
0,17,2,96,False,pca96,0.01,0.4320691365932249
0,17,2,96,False,pca96,0.02,0.43835853771804917
0,17,2,160,False,pca160,0.001,0.47975613264042005
0,17,2,160,False,pca160,0.005,0.4804118360889831
0,17,2,160,True,pca160,0.01,0.49108765466873827
0,17,2,160,False,pca160,0.02,0.4791574237499549
0,17,2,192,False,pca192,0.001,0.43150472503056037
0,17,2,192,True,pca192,0.005,0.44215916268563593
0,17,2,192,False,pca192,0.01,0.4365656527499589
0,17,2,192,False,pca192,0.02,0.4309913197934773
0,17,2,224,False,pca224,0.001,0.4472135954999579
0,17,2,224,True,pca224,0.005,0.46291660274114227
0,17,2,224,False,pca224,0.01,0.45687839090689103
0,17,2,224,False,pca224,0.02,0.46241937746044187
0,17,2,240,False,pca240,0.001,0.4027991944024168
0,17,2,240,False,pca240,0.005,0.4188344821181664
0,17,2,240,False,pca240,0.01,0.4343551795452143
0,17,2,240,True,pca240,0.02,0.4619758471498066
0,17,3,96,False,pca96,0.001,0.4981990036029892
0,17,3,96,True,pca96,0.005,0.519107409700378
0,17,3,96,False,pca96,0.01,0.5142651236134448
0,17,3,96,False,pca96,0.02,0.5087989824030528
0,17,3,160,False,pca160,0.001,0.4819133882598716
0,17,3,160,False,pca160,0.005,0.47699904600286197
0,17,3,160,False,pca160,0.01,0.4661372658534007
0,17,3,160,True,pca160,0.02,0.48215684718611374
0,17,3,192,False,pca192,0.001,0.48172428607658213
0,17,3,192,True,pca192,0.005,0.4925048912985501
0,17,3,192,False,pca192,0.01,0.48710669380586646
0,17,3,192,False,pca192,0.02,0.4923116330233202
0,17,3,224,False,pca224,0.001,0.476517417853565
0,17,3,224,False,pca224,0.005,0.48694291458224925
0,17,3,224,False,pca224,0.01,0.48172428607658213
0,17,3,224,True,pca224,0.02,0.4925048912985501
0,17,3,240,False,pca240,0.001,0.4815084416406091
0,17,3,240,False,pca240,0.005,0.4920910447535895
0,17,3,240,False,pca240,0.01,0.4867793004494179
0,17,3,240,True,pca240,0.02,0.4974171640840795
0,17,4,96,True,pca96,0.001,0.5560539095306211
0,17,4,96,False,pca96,0.005,0.5506423495196752
0,17,4,96,False,pca96,0.01,0.5400530735673736
0,17,4,96,False,pca96,0.02,0.5558357147037486
0,17,4,160,False,pca160,0.001,0.5142651236134448
0,17,4,160,False,pca160,0.005,0.5354719328346177
0,17,4,160,False,pca160,0.01,0.5409637364707709
0,17,4,160,True,pca160,0.02,0.5672821466663772
0,17,4,192,True,pca192,0.001,0.5932656110861464
0,17,4,192,False,pca192,0.005,0.5932656110861464
0,17,4,192,False,pca192,0.01,0.5881253850292156
0,17,4,192,False,pca192,0.02,0.5672821466663772
0,17,4,224,False,pca224,0.001,0.5095438042387856
0,17,4,224,False,pca224,0.005,0.5197494722954465
0,17,4,224,False,pca224,0.01,0.5405989188032436
0,17,4,224,True,pca224,0.02,0.5460753374452042
0,17,4,240,False,pca240,0.001,0.48792807603245997
0,17,4,240,False,pca240,0.005,0.5095438042387856
0,17,4,240,False,pca240,0.01,0.5409637364707709
0,17,4,240,True,pca240,0.02,0.5563348236762851
