repeat,seed,fold,dimension,selected_alpha,dictionary_atoms,overcompleteness_ratio,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,17,0,96,0.02,377,3.9270833333333335,0.8105263157894737,0.7708333333333334,0.851063829787234,0.8409090909090909,0.6235577726537999,0.8043478260869565,0.9002659574468085,37,40,7,11
0,17,0,160,0.005,377,2.35625,0.8,0.7916666666666666,0.8085106382978723,0.8085106382978723,0.600177304964539,0.8,0.8922872340425533,38,38,9,10
0,17,0,192,0.02,377,1.9635416666666667,0.7894736842105263,0.7708333333333334,0.8085106382978723,0.8043478260869565,0.5796009439089259,0.7872340425531915,0.9086879432624114,37,38,9,11
0,17,0,224,0.01,377,1.6830357142857142,0.7894736842105263,0.7708333333333334,0.8085106382978723,0.8043478260869565,0.5796009439089259,0.7872340425531915,0.8922872340425533,37,38,9,11
0,17,0,240,0.005,377,1.5708333333333333,0.8,0.8125,0.7872340425531915,0.7959183673469388,0.6000000589967688,0.8041237113402062,0.886968085106383,39,37,10,9
0,17,1,96,0.001,377,3.9270833333333335,0.8315789473684211,0.851063829787234,0.8125,0.8163265306122449,0.6638581584021899,0.8333333333333334,0.9343971631205673,40,39,9,7
0,17,1,160,0.005,377,2.35625,0.8526315789473684,0.8936170212765957,0.8125,0.8235294117647058,0.7080025173467592,0.8571428571428571,0.9237588652482269,42,39,9,5
0,17,1,192,0.005,377,1.9635416666666667,0.8526315789473684,0.8936170212765957,0.8125,0.8235294117647058,0.7080025173467592,0.8571428571428571,0.9215425531914894,42,39,9,5
0,17,1,224,0.005,377,1.6830357142857142,0.8315789473684211,0.851063829787234,0.8125,0.8163265306122449,0.6638581584021899,0.8333333333333334,0.9219858156028369,40,39,9,7
0,17,1,240,0.005,377,1.5708333333333333,0.8421052631578947,0.851063829787234,0.8333333333333334,0.8333333333333334,0.6843971631205674,0.8421052631578947,0.9197695035460992,40,40,8,7
0,17,2,96,0.005,378,3.9375,0.7872340425531915,0.8085106382978723,0.7659574468085106,0.7755102040816326,0.5749889084999459,0.7916666666666666,0.885921231326392,38,36,11,9
0,17,2,160,0.01,378,2.3625,0.776595744680851,0.851063829787234,0.7021276595744681,0.7407407407407407,0.5594309277855157,0.7920792079207921,0.9044816659121775,40,33,14,7
0,17,2,192,0.005,378,1.96875,0.7978723404255319,0.8723404255319149,0.723404255319149,0.7592592592592593,0.6024640760767093,0.8118811881188119,0.9230421004979628,41,34,13,6
0,17,2,224,0.005,378,1.6875,0.8085106382978723,0.8936170212765957,0.723404255319149,0.7636363636363637,0.6261585997769192,0.8235294117647058,0.9126301493888638,42,34,13,5
0,17,2,240,0.02,378,1.575,0.7978723404255319,0.8723404255319149,0.723404255319149,0.7592592592592593,0.6024640760767093,0.8118811881188119,0.9153463105477592,41,34,13,6
0,17,3,96,0.005,378,3.9375,0.776595744680851,0.7446808510638298,0.8085106382978723,0.7954545454545454,0.5543218625245872,0.7692307692307693,0.8261656858306925,35,38,9,12
0,17,3,160,0.02,378,2.3625,0.7553191489361702,0.7446808510638298,0.7659574468085106,0.7608695652173914,0.5107539184552492,0.7526881720430108,0.8460842009959257,35,36,11,12
0,17,3,192,0.005,378,1.96875,0.7340425531914894,0.7021276595744681,0.7659574468085106,0.75,0.469041575982343,0.7252747252747253,0.8297872340425532,33,36,11,14
0,17,3,224,0.02,378,1.6875,0.7446808510638298,0.7021276595744681,0.7872340425531915,0.7674418604651163,0.4911436350228294,0.7333333333333333,0.8347668628338615,33,37,10,14
0,17,3,240,0.02,378,1.575,0.7659574468085106,0.7446808510638298,0.7872340425531915,0.7777777777777778,0.5323971374999499,0.7608695652173914,0.8415572657311001,35,37,10,12
0,17,4,96,0.001,378,3.9375,0.776595744680851,0.8297872340425532,0.723404255319149,0.75,0.5563486402641867,0.7878787878787878,0.8501584427342689,39,34,13,8
0,17,4,160,0.02,378,2.3625,0.7446808510638298,0.7872340425531915,0.7021276595744681,0.7254901960784313,0.4911436350228294,0.7551020408163265,0.8488003621548212,37,33,14,10
0,17,4,192,0.001,378,1.96875,0.7659574468085106,0.8297872340425532,0.7021276595744681,0.7358490566037735,0.5363029001751802,0.78,0.8714350384789498,39,33,14,8
0,17,4,224,0.02,378,1.6875,0.7553191489361702,0.8085106382978723,0.7021276595744681,0.7307692307692307,0.5135525910130955,0.7676767676767676,0.870076957899502,38,33,14,9
0,17,4,240,0.02,378,1.575,0.776595744680851,0.851063829787234,0.7021276595744681,0.7407407407407407,0.5594309277855157,0.7920792079207921,0.8687188773200543,40,33,14,7
