repeat,seed,dimension,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,17,96,0.7966101694915254,0.8008474576271186,0.7923728813559322,0.7941176470588235,0.593241642211075,0.7974683544303798,0.8764902326917553,189,187,49,47
0,17,160,0.7860169491525424,0.8135593220338984,0.7584745762711864,0.7710843373493976,0.5729037479490502,0.7917525773195876,0.8830616202240735,192,179,57,44
0,17,192,0.788135593220339,0.8135593220338984,0.7627118644067796,0.7741935483870968,0.5770175983068111,0.7933884297520661,0.8872270899166906,192,180,56,44
0,17,224,0.7860169491525424,0.8050847457627118,0.7669491525423728,0.7755102040816326,0.572450313724256,0.7900207900207901,0.8829538925596093,190,181,55,46
0,17,240,0.7966101694915254,0.826271186440678,0.7669491525423728,0.78,0.5942669039692124,0.8024691358024691,0.8829898017810973,195,181,55,41
