dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
96,0.7966101694915254,,0.7966101694915254,0.7966101694915254,0.8008474576271186,,0.8008474576271186,0.8008474576271186,0.7923728813559322,,0.7923728813559322,0.7923728813559322,0.593241642211075,,0.593241642211075,0.593241642211075,0.7974683544303798,,0.7974683544303798,0.7974683544303798,0.8764902326917553,,0.8764902326917553,0.8764902326917553
160,0.7860169491525424,,0.7860169491525424,0.7860169491525424,0.8135593220338984,,0.8135593220338984,0.8135593220338984,0.7584745762711864,,0.7584745762711864,0.7584745762711864,0.5729037479490502,,0.5729037479490502,0.5729037479490502,0.7917525773195876,,0.7917525773195876,0.7917525773195876,0.8830616202240735,,0.8830616202240735,0.8830616202240735
192,0.788135593220339,,0.788135593220339,0.788135593220339,0.8135593220338984,,0.8135593220338984,0.8135593220338984,0.7627118644067796,,0.7627118644067796,0.7627118644067796,0.5770175983068111,,0.5770175983068111,0.5770175983068111,0.7933884297520661,,0.7933884297520661,0.7933884297520661,0.8872270899166906,,0.8872270899166906,0.8872270899166906
224,0.7860169491525424,,0.7860169491525424,0.7860169491525424,0.8050847457627118,,0.8050847457627118,0.8050847457627118,0.7669491525423728,,0.7669491525423728,0.7669491525423728,0.572450313724256,,0.572450313724256,0.572450313724256,0.7900207900207901,,0.7900207900207901,0.7900207900207901,0.8829538925596093,,0.8829538925596093,0.8829538925596093
240,0.7966101694915254,,0.7966101694915254,0.7966101694915254,0.826271186440678,,0.826271186440678,0.826271186440678,0.7669491525423728,,0.7669491525423728,0.7669491525423728,0.5942669039692124,,0.5942669039692124,0.5942669039692124,0.8024691358024691,,0.8024691358024691,0.8024691358024691,0.8829898017810973,,0.8829898017810973,0.8829898017810973
