repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,29,0,96,True,pca96,0.001,0.5494030550350741
0,29,0,96,False,pca96,0.005,0.5442024435072335
0,29,0,96,False,pca96,0.01,0.5281660047174055
0,29,0,96,False,pca96,0.02,0.5229606025172011
0,29,0,160,False,pca160,0.001,0.5331532140042778
0,29,0,160,True,pca160,0.005,0.5331700883089807
0,29,0,160,False,pca160,0.01,0.5278950702997584
0,29,0,160,False,pca160,0.02,0.5278489208698884
0,29,0,192,False,pca192,0.001,0.5285105264893979
0,29,0,192,False,pca192,0.005,0.5236855625118317
0,29,0,192,False,pca192,0.01,0.5233469983915267
0,29,0,192,True,pca192,0.02,0.5339706155783458
0,29,0,224,False,pca224,0.001,0.49729346952354464
0,29,0,224,False,pca224,0.005,0.5024257275829607
0,29,0,224,False,pca224,0.01,0.5072686854993657
0,29,0,224,True,pca224,0.02,0.5130556450473962
0,29,0,240,False,pca240,0.001,0.5072686854993657
0,29,0,240,False,pca240,0.005,0.4969422777089311
0,29,0,240,False,pca240,0.01,0.5072686854993657
0,29,0,240,True,pca240,0.02,0.5130556450473962
0,29,1,96,False,pca96,0.001,0.45361144597849024
0,29,1,96,False,pca96,0.005,0.46422339231009996
0,29,1,96,False,pca96,0.01,0.4748353386417097
0,29,1,96,True,pca96,0.02,0.4960592313049292
0,29,1,160,False,pca160,0.001,0.49603174603174605
0,29,1,160,False,pca160,0.005,0.49603174603174605
0,29,1,160,False,pca160,0.01,0.49075455255709116
0,29,1,160,True,pca160,0.02,0.5013369378113057
0,29,1,192,False,pca192,0.001,0.45892319401249804
0,29,1,192,False,pca192,0.005,0.4695336468606957
0,29,1,192,False,pca192,0.01,0.4695336468606957
0,29,1,192,True,pca192,0.02,0.4801024428684003
0,29,1,224,False,pca224,0.001,0.4323875533152708
0,29,1,224,True,pca224,0.005,0.46949228864122483
0,29,1,224,False,pca224,0.01,0.45892319401249804
0,29,1,224,False,pca224,0.02,0.453591129123044
0,29,1,240,False,pca240,0.001,0.4589550319806093
0,29,1,240,False,pca240,0.005,0.46949228864122483
0,29,1,240,True,pca240,0.01,0.49075455255709116
0,29,1,240,False,pca240,0.02,0.474811437577395
0,29,2,96,False,pca96,0.001,0.534870903453264
0,29,2,96,False,pca96,0.005,0.5454624064919426
0,29,2,96,False,pca96,0.01,0.534870903453264
0,29,2,96,True,pca96,0.02,0.5506423495196752
0,29,2,160,False,pca160,0.001,0.5081143456510427
0,29,2,160,False,pca160,0.005,0.5081143456510427
0,29,2,160,False,pca160,0.01,0.5081143456510427
0,29,2,160,True,pca160,0.02,0.5344214572055112
0,29,2,192,False,pca192,0.001,0.4920910447535895
0,29,2,192,False,pca192,0.005,0.4921737306024009
0,29,2,192,False,pca192,0.01,0.5081143456510427
0,29,2,192,True,pca192,0.02,0.5188745216627708
0,29,2,224,False,pca224,0.001,0.5085133809309826
0,29,2,224,False,pca224,0.005,0.5136878973759071
0,29,2,224,False,pca224,0.01,0.519107409700378
0,29,2,224,True,pca224,0.02,0.540295467239169
0,29,2,240,False,pca240,0.001,0.46096313961749336
0,29,2,240,False,pca240,0.005,0.48710669380586646
0,29,2,240,False,pca240,0.01,0.5085133809309826
0,29,2,240,True,pca240,0.02,0.5188745216627708
0,29,3,96,False,pca96,0.001,0.4242852835064869
0,29,3,96,False,pca96,0.005,0.4301154438980958
0,29,3,96,False,pca96,0.01,0.4356282331902915
0,29,3,96,True,pca96,0.02,0.4411587164277779
0,29,3,160,False,pca160,0.001,0.42917257826456273
0,29,3,160,True,pca160,0.005,0.4451991096026712
0,29,3,160,False,pca160,0.01,0.4451991096026712
0,29,3,160,False,pca160,0.02,0.42376115077581883
0,29,3,192,False,pca192,0.001,0.4447495899966607
0,29,3,192,False,pca192,0.005,0.4392518240860137
0,29,3,192,False,pca192,0.01,0.4392518240860137
0,29,3,192,True,pca192,0.02,0.4550837884173493
0,29,3,224,True,pca224,0.001,0.4501388791438361
0,29,3,224,False,pca224,0.005,0.44996224523636796
0,29,3,224,False,pca224,0.01,0.43416031404435923
0,29,3,224,False,pca224,0.02,0.43915343915343913
0,29,3,240,False,pca240,0.001,0.4551857679790591
0,29,3,240,False,pca240,0.005,0.4550328243331515
0,29,3,240,False,pca240,0.01,0.4497606323016678
0,29,3,240,True,pca240,0.02,0.47092583852762865
0,29,4,96,False,pca96,0.001,0.48172428607658213
0,29,4,96,True,pca96,0.005,0.48710669380586646
0,29,4,96,False,pca96,0.01,0.476517417853565
0,29,4,96,False,pca96,0.02,0.48694291458224925
0,29,4,160,False,pca160,0.001,0.41367815141882475
0,29,4,160,False,pca160,0.005,0.4242852835064869
0,29,4,160,True,pca160,0.01,0.4451991096026712
0,29,4,160,False,pca160,0.02,0.44004129133933934
0,29,4,192,False,pca192,0.001,0.44494920831460977
0,29,4,192,False,pca192,0.005,0.43416031404435923
0,29,4,192,False,pca192,0.01,0.4287875513428918
0,29,4,192,True,pca192,0.02,0.4551857679790591
0,29,4,224,False,pca224,0.001,0.43416031404435923
0,29,4,224,True,pca224,0.005,0.4393748982896299
0,29,4,224,False,pca224,0.01,0.43401433691026564
0,29,4,224,False,pca224,0.02,0.43401433691026564
0,29,4,240,True,pca240,0.001,0.4551857679790591
0,29,4,240,False,pca240,0.005,0.44996224523636796
0,29,4,240,False,pca240,0.01,0.4497354497354497
0,29,4,240,False,pca240,0.02,0.4497606323016678
