dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
96,0.7817796610169492,,0.7817796610169492,0.7817796610169492,0.7838983050847458,,0.7838983050847458,0.7838983050847458,0.7796610169491526,,0.7796610169491526,0.7796610169491526,0.563564381346156,,0.563564381346156,0.563564381346156,0.7822410147991543,,0.7822410147991543,0.7822410147991543,0.8720733984487216,,0.8720733984487216,0.8720733984487216
160,0.798728813559322,,0.798728813559322,0.798728813559322,0.8135593220338984,,0.8135593220338984,0.8135593220338984,0.7838983050847458,,0.7838983050847458,0.7838983050847458,0.5977206150779373,,0.5977206150779373,0.5977206150779373,0.8016701461377871,,0.8016701461377871,0.8016701461377871,0.8843184429761564,,0.8843184429761564,0.8843184429761564
192,0.7923728813559322,,0.7923728813559322,0.7923728813559322,0.8050847457627118,,0.8050847457627118,0.8050847457627118,0.7796610169491526,,0.7796610169491526,0.7796610169491526,0.5849348342598332,,0.5849348342598332,0.5849348342598332,0.7949790794979079,,0.7949790794979079,0.7949790794979079,0.8834207124389543,,0.8834207124389543,0.8834207124389543
224,0.7838983050847458,,0.7838983050847458,0.7838983050847458,0.8177966101694916,,0.8177966101694916,0.8177966101694916,0.75,,0.75,0.75,0.5691060304386819,,0.5691060304386819,0.5691060304386819,0.7909836065573771,,0.7909836065573771,0.7909836065573771,0.874928181557024,,0.874928181557024,0.874928181557024
240,0.7817796610169492,,0.7817796610169492,0.7817796610169492,0.8220338983050848,,0.8220338983050848,0.8220338983050848,0.7415254237288136,,0.7415254237288136,0.7415254237288136,0.5653946358466352,,0.5653946358466352,0.5653946358466352,0.790224032586558,,0.790224032586558,0.790224032586558,0.8771545532892846,,0.8771545532892846,0.8771545532892846
