repeat,seed,fold,dimension,selected_alpha,dictionary_atoms,overcompleteness_ratio,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,0,96,0.02,377,3.9270833333333335,0.8210526315789474,0.8333333333333334,0.8085106382978723,0.8163265306122449,0.6421286662434007,0.8247422680412371,0.9175531914893618,40,38,9,8
0,6,0,160,0.001,377,2.35625,0.7684210526315789,0.7708333333333334,0.7659574468085106,0.7708333333333334,0.536790780141844,0.7708333333333334,0.8874113475177304,37,36,11,11
0,6,0,192,0.005,377,1.9635416666666667,0.7789473684210526,0.8125,0.7446808510638298,0.7647058823529411,0.5586686530476311,0.7878787878787878,0.886968085106383,39,35,12,9
0,6,0,224,0.02,377,1.6830357142857142,0.8210526315789474,0.875,0.7659574468085106,0.7924528301886793,0.6452621120210307,0.8316831683168316,0.9024822695035462,42,36,11,6
0,6,0,240,0.02,377,1.5708333333333333,0.8105263157894737,0.8541666666666666,0.7659574468085106,0.7884615384615384,0.6228913030941927,0.82,0.8993794326241136,41,36,11,7
0,6,1,96,0.005,377,3.9270833333333335,0.8210526315789474,0.7659574468085106,0.875,0.8571428571428571,0.6452621120210307,0.8089887640449438,0.8945035460992907,36,42,6,11
0,6,1,160,0.02,377,2.35625,0.8421052631578947,0.8297872340425532,0.8541666666666666,0.8478260869565217,0.6842572734900327,0.8387096774193549,0.8993794326241135,39,41,7,8
0,6,1,192,0.001,377,1.9635416666666667,0.8,0.7872340425531915,0.8125,0.8043478260869565,0.6000000589967688,0.7956989247311828,0.8922872340425532,37,39,9,10
0,6,1,224,0.001,377,1.6830357142857142,0.7894736842105263,0.7872340425531915,0.7916666666666666,0.7872340425531915,0.5789007092198581,0.7872340425531915,0.8874113475177305,37,38,10,10
0,6,1,240,0.01,377,1.5708333333333333,0.8,0.8085106382978723,0.7916666666666666,0.7916666666666666,0.600177304964539,0.8,0.8829787234042554,38,38,10,9
0,6,2,96,0.02,378,3.9375,0.8617021276595744,0.851063829787234,0.8723404255319149,0.8695652173913043,0.7235680511449364,0.8602150537634409,0.9352648257129924,40,41,6,7
0,6,2,160,0.02,378,2.3625,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.6595744680851063,0.8297872340425532,0.9216840199185152,39,39,8,8
0,6,2,192,0.02,378,1.96875,0.8297872340425532,0.8085106382978723,0.851063829787234,0.8444444444444444,0.6601724504999379,0.8260869565217391,0.9194205522861023,38,40,7,9
0,6,2,224,0.02,378,1.6875,0.8191489361702128,0.8085106382978723,0.8297872340425532,0.8260869565217391,0.6384423980690614,0.8172043010752689,0.9094612947034857,38,39,8,9
0,6,2,240,0.02,378,1.575,0.7872340425531915,0.7446808510638298,0.8297872340425532,0.813953488372093,0.5765599193746258,0.7777777777777778,0.9031235853327297,35,39,8,12
0,6,3,96,0.02,378,3.9375,0.7340425531914894,0.7659574468085106,0.7021276595744681,0.72,0.469041575982343,0.7422680412371134,0.8578542326844726,36,33,14,11
0,6,3,160,0.01,378,2.3625,0.7553191489361702,0.7872340425531915,0.723404255319149,0.74,0.5116817192534651,0.7628865979381443,0.8723404255319148,37,34,13,10
0,6,3,192,0.02,378,1.96875,0.776595744680851,0.851063829787234,0.7021276595744681,0.7407407407407407,0.5594309277855157,0.7920792079207921,0.8804889090086012,40,33,14,7
0,6,3,224,0.02,378,1.6875,0.776595744680851,0.8723404255319149,0.6808510638297872,0.7321428571428571,0.563621480190678,0.7961165048543689,0.8782254413761883,41,32,15,6
0,6,3,240,0.02,378,1.575,0.776595744680851,0.851063829787234,0.7021276595744681,0.7407407407407407,0.5594309277855157,0.7920792079207921,0.8804889090086012,40,33,14,7
0,6,4,96,0.005,378,3.9375,0.7553191489361702,0.7446808510638298,0.7659574468085106,0.7608695652173914,0.5107539184552492,0.7526881720430108,0.8637392485287461,35,36,11,12
0,6,4,160,0.02,378,2.3625,0.776595744680851,0.8085106382978723,0.7446808510638298,0.76,0.5543218625245872,0.7835051546391752,0.8623811679492983,38,35,12,9
0,6,4,192,0.02,378,1.96875,0.7978723404255319,0.851063829787234,0.7446808510638298,0.7692307692307693,0.5991446895152781,0.8080808080808081,0.8696242643730194,40,35,12,7
0,6,4,224,0.01,378,1.6875,0.7872340425531915,0.8085106382978723,0.7659574468085106,0.7755102040816326,0.5749889084999459,0.7916666666666666,0.8682661837935717,38,36,11,9
0,6,4,240,0.02,378,1.575,0.7872340425531915,0.8297872340425532,0.7446808510638298,0.7647058823529411,0.5765599193746258,0.7959183673469388,0.8574015391579901,39,35,12,8
