dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
96,0.798728813559322,,0.798728813559322,0.798728813559322,0.7923728813559322,,0.7923728813559322,0.7923728813559322,0.8050847457627118,,0.8050847457627118,0.8050847457627118,0.5975059050057843,,0.5975059050057843,0.5975059050057843,0.7974413646055437,,0.7974413646055437,0.7974413646055437,0.8918234702671646,,0.8918234702671646,0.8918234702671646
160,0.7944915254237288,,0.7944915254237288,0.7944915254237288,0.8050847457627118,,0.8050847457627118,0.8050847457627118,0.7838983050847458,,0.7838983050847458,0.7838983050847458,0.5891152823823907,,0.5891152823823907,0.5891152823823907,0.7966457023060797,,0.7966457023060797,0.7966457023060797,0.8891302786555587,,0.8891302786555587,0.8891302786555587
192,0.7966101694915254,,0.7966101694915254,0.7966101694915254,0.8220338983050848,,0.8220338983050848,0.8220338983050848,0.7711864406779662,,0.7711864406779662,0.7711864406779662,0.5939887041393643,,0.5939887041393643,0.5939887041393643,0.8016528925619835,,0.8016528925619835,0.8016528925619835,0.8894355070382074,,0.8894355070382074,0.8894355070382074
224,0.798728813559322,,0.798728813559322,0.798728813559322,0.8305084745762712,,0.8305084745762712,0.8305084745762712,0.7669491525423728,,0.7669491525423728,0.7669491525423728,0.5986680967881539,,0.5986680967881539,0.5986680967881539,0.8049281314168378,,0.8049281314168378,0.8049281314168378,0.8900639184142487,,0.8900639184142487,0.8900639184142487
240,0.7923728813559322,,0.7923728813559322,0.7923728813559322,0.8177966101694916,,0.8177966101694916,0.8177966101694916,0.7669491525423728,,0.7669491525423728,0.7669491525423728,0.5855031512230877,,0.5855031512230877,0.5855031512230877,0.7975206611570248,,0.7975206611570248,0.7975206611570248,0.8862575409365125,,0.8862575409365125,0.8862575409365125
