repeat,seed,fold,dimension,selected_alpha,dictionary_atoms,overcompleteness_ratio,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,41,0,96,0.001,377,3.9270833333333335,0.7894736842105263,0.7916666666666666,0.7872340425531915,0.7916666666666666,0.5789007092198581,0.7916666666666666,0.8736702127659575,38,37,10,10
0,41,0,160,0.02,377,2.35625,0.7894736842105263,0.7916666666666666,0.7872340425531915,0.7916666666666666,0.5789007092198581,0.7916666666666666,0.8625886524822695,38,37,10,10
0,41,0,192,0.001,377,1.9635416666666667,0.7578947368421053,0.75,0.7659574468085106,0.7659574468085106,0.5159574468085106,0.7578947368421053,0.8603723404255319,36,36,11,12
0,41,0,224,0.02,377,1.6830357142857142,0.8105263157894737,0.7916666666666666,0.8297872340425532,0.8260869565217391,0.621729551155558,0.8085106382978723,0.8732269503546101,38,39,8,10
0,41,0,240,0.02,377,1.5708333333333333,0.8210526315789474,0.8125,0.8297872340425532,0.8297872340425532,0.6422872340425532,0.8210526315789474,0.8692375886524822,39,39,8,9
0,41,1,96,0.005,377,3.9270833333333335,0.8,0.8297872340425532,0.7708333333333334,0.78,0.6014208616247679,0.8041237113402062,0.8967198581560284,39,37,11,8
0,41,1,160,0.001,377,2.35625,0.7894736842105263,0.7659574468085106,0.8125,0.8,0.5792282099042968,0.782608695652174,0.8816489361702128,36,39,9,11
0,41,1,192,0.01,377,1.9635416666666667,0.8105263157894737,0.8085106382978723,0.8125,0.8085106382978723,0.6210106382978723,0.8085106382978723,0.8812056737588653,38,39,9,9
0,41,1,224,0.005,377,1.6830357142857142,0.8105263157894737,0.8297872340425532,0.7916666666666666,0.7959183673469388,0.621729551155558,0.8125,0.8674645390070922,39,38,10,8
0,41,1,240,0.001,377,1.5708333333333333,0.7789473684210526,0.7659574468085106,0.7916666666666666,0.782608695652174,0.5578714517501369,0.7741935483870968,0.8665780141843972,36,38,10,11
0,41,2,96,0.005,378,3.9375,0.7659574468085106,0.8297872340425532,0.7021276595744681,0.7358490566037735,0.5363029001751802,0.78,0.8094160253508375,39,33,14,8
0,41,2,160,0.01,378,2.3625,0.7446808510638298,0.8085106382978723,0.6808510638297872,0.7169811320754716,0.4933986681611658,0.76,0.8252602987777274,38,32,15,9
0,41,2,192,0.005,378,1.96875,0.7553191489361702,0.851063829787234,0.6595744680851063,0.7142857142857143,0.520265981714472,0.7766990291262136,0.8451788139429607,40,31,16,7
0,41,2,224,0.02,378,1.6875,0.7659574468085106,0.8723404255319149,0.6595744680851063,0.7192982456140351,0.5443794453866778,0.7884615384615384,0.8469895880488909,41,31,16,6
0,41,2,240,0.02,378,1.575,0.7659574468085106,0.851063829787234,0.6808510638297872,0.7272727272727273,0.539791896359413,0.7843137254901961,0.8415572657311,40,32,15,7
0,41,3,96,0.001,378,3.9375,0.7021276595744681,0.8085106382978723,0.5957446808510638,0.6666666666666666,0.4137283784938751,0.7307692307692307,0.8510638297872339,38,28,19,9
0,41,3,160,0.001,378,2.3625,0.776595744680851,0.851063829787234,0.7021276595744681,0.7407407407407407,0.5594309277855157,0.7920792079207921,0.8746038931643277,40,33,14,7
0,41,3,192,0.005,378,1.96875,0.7340425531914894,0.7872340425531915,0.6808510638297872,0.7115384615384616,0.4707565417620042,0.7474747474747475,0.8623811679492983,37,32,15,10
0,41,3,224,0.02,378,1.6875,0.7553191489361702,0.8297872340425532,0.6808510638297872,0.7222222222222222,0.5163977794943222,0.7722772277227723,0.8678134902670892,39,32,15,8
0,41,3,240,0.01,378,1.575,0.8085106382978723,0.8723404255319149,0.7446808510638298,0.7735849056603774,0.622111364203209,0.82,0.8854685377999095,41,35,12,6
0,41,4,96,0.001,378,3.9375,0.851063829787234,0.8723404255319149,0.8297872340425532,0.8367346938775511,0.7027642214999339,0.8541666666666666,0.9343594386600271,41,39,8,6
0,41,4,160,0.005,378,2.3625,0.8829787234042553,0.8723404255319149,0.8936170212765957,0.8913043478260869,0.7661308776828738,0.8817204301075269,0.9461294703485741,41,42,5,6
0,41,4,192,0.005,378,1.96875,0.8829787234042553,0.8723404255319149,0.8936170212765957,0.8913043478260869,0.7661308776828738,0.8817204301075269,0.939791760977818,41,42,5,6
0,41,4,224,0.005,378,1.6875,0.851063829787234,0.8297872340425532,0.8723404255319149,0.8666666666666667,0.7027642214999339,0.8478260869565217,0.9470348574015391,39,41,6,8
0,41,4,240,0.01,378,1.575,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.7446808510638298,0.8723404255319149,0.9447713897691262,41,41,6,6
