repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,41,0,96,True,pca96,0.001,0.5598446313964133
0,41,0,96,False,pca96,0.005,0.5546169762554607
0,41,0,96,False,pca96,0.01,0.5386153590129444
0,41,0,96,False,pca96,0.02,0.5440005456868744
0,41,0,160,False,pca160,0.001,0.4907258876454141
0,41,0,160,False,pca160,0.005,0.4854472849733194
0,41,0,160,False,pca160,0.01,0.4907125970955758
0,41,0,160,True,pca160,0.02,0.5172384680216907
0,41,0,192,True,pca192,0.001,0.506628015173493
0,41,0,192,False,pca192,0.005,0.506628015173493
0,41,0,192,False,pca192,0.01,0.5013369378113057
0,41,0,192,False,pca192,0.02,0.5013369378113057
0,41,0,224,False,pca224,0.001,0.49729346952354464
0,41,0,224,False,pca224,0.005,0.5134465727552393
0,41,0,224,False,pca224,0.01,0.5130556450473962
0,41,0,224,True,pca224,0.02,0.5233469983915267
0,41,0,240,False,pca240,0.001,0.4969422777089311
0,41,0,240,False,pca240,0.005,0.5124494608483615
0,41,0,240,False,pca240,0.01,0.5028091403252385
0,41,0,240,True,pca240,0.02,0.5134465727552393
0,41,1,96,False,pca96,0.001,0.5122336239687661
0,41,1,96,True,pca96,0.005,0.5124494608483615
0,41,1,96,False,pca96,0.01,0.507026080603177
0,41,1,96,False,pca96,0.02,0.5016189877770317
0,41,1,160,True,pca160,0.001,0.48014409970889343
0,41,1,160,False,pca160,0.005,0.474811437577395
0,41,1,160,False,pca160,0.01,0.4801024428684003
0,41,1,160,False,pca160,0.02,0.46950378731363074
0,41,1,192,False,pca192,0.001,0.4483127411643003
0,41,1,192,False,pca192,0.005,0.4588821344140493
0,41,1,192,True,pca192,0.01,0.46949228864122483
0,41,1,192,False,pca192,0.02,0.46431290567080324
0,41,1,224,False,pca224,0.001,0.46489676168066985
0,41,1,224,True,pca224,0.005,0.4700797711487149
0,41,1,224,False,pca224,0.01,0.46489676168066985
0,41,1,224,False,pca224,0.02,0.43845652451610806
0,41,1,240,True,pca240,0.001,0.46464939998265575
0,41,1,240,False,pca240,0.005,0.44363692675179883
0,41,1,240,False,pca240,0.01,0.443922345944836
0,41,1,240,False,pca240,0.02,0.43845652451610806
0,41,2,96,False,pca96,0.001,0.5133424932089558
0,41,2,96,True,pca96,0.005,0.5240736738635344
0,41,2,96,False,pca96,0.01,0.5187000611854394
0,41,2,96,False,pca96,0.02,0.5134863269167964
0,41,2,160,False,pca160,0.001,0.47155999340180355
0,41,2,160,False,pca160,0.005,0.47155999340180355
0,41,2,160,True,pca160,0.01,0.48732532339219164
0,41,2,160,False,pca160,0.02,0.4767312946227962
0,41,2,192,False,pca192,0.001,0.4451991096026712
0,41,2,192,True,pca192,0.005,0.4663990672027984
0,41,2,192,False,pca192,0.01,0.4612481005605123
0,41,2,192,False,pca192,0.02,0.4564663246305788
0,41,2,224,False,pca224,0.001,0.46158555489724323
0,41,2,224,False,pca224,0.005,0.4670818205522202
0,41,2,224,False,pca224,0.01,0.4721967170787891
0,41,2,224,True,pca224,0.02,0.4725959815670435
0,41,2,240,False,pca240,0.001,0.4892509742832446
0,41,2,240,False,pca240,0.005,0.49431036900943787
0,41,2,240,False,pca240,0.01,0.48368003849310587
0,41,2,240,True,pca240,0.02,0.49543135096101376
0,41,3,96,True,pca96,0.001,0.48683382016739696
0,41,3,96,False,pca96,0.005,0.4761971417439958
0,41,3,96,False,pca96,0.01,0.46566713233403184
0,41,3,96,False,pca96,0.02,0.4761971417439958
0,41,3,160,True,pca160,0.001,0.4925048912985501
0,41,3,160,False,pca160,0.005,0.48710669380586646
0,41,3,160,False,pca160,0.01,0.4819133882598716
0,41,3,160,False,pca160,0.02,0.4767312946227962
0,41,3,192,False,pca192,0.001,0.4824549097816853
0,41,3,192,True,pca192,0.005,0.4925048912985501
0,41,3,192,False,pca192,0.01,0.48694291458224925
0,41,3,192,False,pca192,0.02,0.4875990248029256
0,41,3,224,False,pca224,0.001,0.4242852835064869
0,41,3,224,False,pca224,0.005,0.41367815141882475
0,41,3,224,False,pca224,0.01,0.4348924155941491
0,41,3,224,True,pca224,0.02,0.45554323708400524
0,41,3,240,False,pca240,0.001,0.4557990884027348
0,41,3,240,False,pca240,0.005,0.4661372658534007
0,41,3,240,True,pca240,0.01,0.47155999340180355
0,41,3,240,False,pca240,0.02,0.46158555489724323
0,41,4,96,True,pca96,0.001,0.4553388659489621
0,41,4,96,False,pca96,0.005,0.44996224523636796
0,41,4,96,False,pca96,0.01,0.4338685069223073
0,41,4,96,False,pca96,0.02,0.42857142857142855
0,41,4,160,False,pca160,0.001,0.5132562509795503
0,41,4,160,True,pca160,0.005,0.5185257765656843
0,41,4,160,False,pca160,0.01,0.5133424932089558
0,41,4,160,False,pca160,0.02,0.5133424932089558
0,41,4,192,False,pca192,0.001,0.5105227557738204
0,41,4,192,True,pca192,0.005,0.5161254076539172
0,41,4,192,False,pca192,0.01,0.49937870634009024
0,41,4,192,False,pca192,0.02,0.49937870634009024
0,41,4,224,False,pca224,0.001,0.4934190414418807
0,41,4,224,True,pca224,0.005,0.5033505547547341
0,41,4,224,False,pca224,0.01,0.4767312946227962
0,41,4,224,False,pca224,0.02,0.4979193521615871
0,41,4,240,False,pca240,0.001,0.4663990672027984
0,41,4,240,False,pca240,0.005,0.4725959815670435
0,41,4,240,True,pca240,0.01,0.4875990248029256
0,41,4,240,False,pca240,0.02,0.4824549097816853
