dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
96,0.7817796610169492,,0.7817796610169492,0.7817796610169492,0.826271186440678,,0.826271186440678,0.826271186440678,0.7372881355932204,,0.7372881355932204,0.7372881355932204,0.5658037862472437,,0.5658037862472437,0.5658037862472437,0.7910750507099391,,0.7910750507099391,0.7910750507099391,0.8716424877908646,,0.8716424877908646,0.8716424877908646
160,0.7966101694915254,,0.7966101694915254,0.7966101694915254,0.8177966101694916,,0.8177966101694916,0.8177966101694916,0.7754237288135594,,0.7754237288135594,0.7754237288135594,0.5937536092036275,,0.5937536092036275,0.5937536092036275,0.8008298755186722,,0.8008298755186722,0.8008298755186722,0.8778368284975582,,0.8778368284975582,0.8778368284975582
192,0.788135593220339,,0.788135593220339,0.788135593220339,0.8135593220338984,,0.8135593220338984,0.8135593220338984,0.7627118644067796,,0.7627118644067796,0.7627118644067796,0.5770175983068111,,0.5770175983068111,0.5770175983068111,0.7933884297520661,,0.7933884297520661,0.7933884297520661,0.8769750071818443,,0.8769750071818443,0.8769750071818443
224,0.798728813559322,,0.798728813559322,0.798728813559322,0.8305084745762712,,0.8305084745762712,0.8305084745762712,0.7669491525423728,,0.7669491525423728,0.7669491525423728,0.5986680967881539,,0.5986680967881539,0.5986680967881539,0.8049281314168378,,0.8049281314168378,0.8049281314168378,0.8792731973570812,,0.8792731973570812,0.8792731973570812
240,0.809322033898305,,0.809322033898305,0.809322033898305,0.8347457627118644,,0.8347457627118644,0.8347457627118644,0.7838983050847458,,0.7838983050847458,0.7838983050847458,0.6194453628881942,,0.6194453628881942,0.6194453628881942,0.8140495867768595,,0.8140495867768595,0.8140495867768595,0.8803325193909795,,0.8803325193909795,0.8803325193909795
