method,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
AE160-SRC,0.7406779661016949,0.021481003145146768,0.7076271186440678,0.760593220338983,0.7389830508474576,0.029141947227202418,0.7033898305084746,0.7711864406779662,0.7423728813559322,0.02309224846345544,0.711864406779661,0.7754237288135594,0.4815438966642217,0.04308214082544037,0.4152691495477525,0.5213034513167918,0.7401283646828561,0.022729000242119008,0.7063829787234043,0.7631027253668763,0.8251831370295892,0.024011180990394735,0.7873455903476012,0.8450696638896869
AWMKPCA160-L1-SRC,0.7838983050847458,0.012799836836434864,0.7711864406779662,0.8029661016949152,0.8449152542372881,0.024081817353191218,0.826271186440678,0.885593220338983,0.7228813559322034,0.013264810036015711,0.711864406779661,0.7457627118644068,0.5723302453065896,0.027277824763020354,0.5456946256837992,0.614379303796938,0.7962248946033482,0.013633824693384864,0.7831325301204819,0.8180039138943248,0.8642092789428325,0.009654314572684817,0.8548369721344442,0.8793629704108015
CKSAAP-KPCA160-L1-SRC,0.7843220338983051,0.004831251801267534,0.777542372881356,0.7902542372881356,0.7584745762711864,0.01235371164162141,0.7457627118644068,0.7754237288135594,0.8101694915254237,0.015100448882377515,0.7966101694915254,0.8347457627118644,0.5695645770770081,0.01008696132491542,0.5556886929988459,0.5828204414727246,0.7785845014997493,0.004920233091419254,0.7722342733188721,0.7837259100642399,0.8810399310542947,0.005938873929068915,0.8742279517380063,0.8867961792588337
CKSAAP-KPCA160-MP,0.7843220338983051,0.005058193384031042,0.7796610169491526,0.7923728813559322,0.7771186440677966,0.015740826797463327,0.7542372881355932,0.7966101694915254,0.7915254237288136,0.0101163867680621,0.7838983050847458,0.809322033898305,0.5688377704310164,0.010004566542509802,0.5594023904871686,0.5847667616080596,0.7827009664714965,0.007000715042434469,0.775599128540305,0.7932489451476793,0.8778332375754093,0.005459063891890999,0.8689313415685147,0.8823972996265441
DeepLSE160-SRC,0.7266949152542372,0.00947486431143981,0.711864406779661,0.7330508474576272,0.7457627118644068,0.01373038283560989,0.7245762711864406,0.7627118644067796,0.7076271186440678,0.017977291047115602,0.6779661016949152,0.7203389830508474,0.45383427298119106,0.018779128802988158,0.42470599286468796,0.46692399597580975,0.7317996574507493,0.008948071978943414,0.7213114754098361,0.7407407407407407,0.7912991956334386,0.011027971269523148,0.7774525998276356,0.8036304222924447
PCA160-SRC (proposed),0.7906779661016949,0.00878662769208799,0.777542372881356,0.798728813559322,0.8101694915254237,0.006962574883540269,0.8008474576271186,0.8177966101694916,0.771186440677966,0.014053494874387285,0.7542372881355932,0.7838983050847458,0.5818363895223703,0.017398312753417074,0.5556886929988459,0.5977206150779373,0.7947013993868601,0.007823538202401756,0.782608695652174,0.8016701461377871,0.881072249353634,0.006911258870652486,0.8710140764148233,0.8891302786555587
