repeat,seed,fold,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,0,PCA160-SRC (proposed),0.7684210526315789,0.7708333333333334,0.7659574468085106,0.7708333333333334,0.536790780141844,0.7708333333333334,0.8874113475177304,37,36,11,11
0,6,0,DeepLSE160-SRC,0.7263157894736842,0.7708333333333334,0.6808510638297872,0.7115384615384616,0.4536999555775428,0.74,0.7841312056737589,37,32,15,11
0,6,0,AE160-SRC,0.7578947368421053,0.75,0.7659574468085106,0.7659574468085106,0.5159574468085106,0.7578947368421053,0.8421985815602836,36,36,11,12
0,6,0,CKSAAP-KPCA160-MP,0.7684210526315789,0.7708333333333334,0.7659574468085106,0.7708333333333334,0.536790780141844,0.7708333333333334,0.8856382978723405,37,36,11,11
0,6,0,CKSAAP-KPCA160-L1-SRC,0.8,0.7916666666666666,0.8085106382978723,0.8085106382978723,0.600177304964539,0.8,0.8927304964539007,38,38,9,10
0,6,0,AWMKPCA160-L1-SRC,0.8105263157894737,0.8541666666666666,0.7659574468085106,0.7884615384615384,0.6228913030941927,0.82,0.8807624113475176,41,36,11,7
0,6,1,PCA160-SRC (proposed),0.8421052631578947,0.8297872340425532,0.8541666666666666,0.8478260869565217,0.6842572734900327,0.8387096774193549,0.8993794326241135,39,41,7,8
0,6,1,DeepLSE160-SRC,0.7789473684210526,0.7446808510638298,0.8125,0.7954545454545454,0.5586686530476311,0.7692307692307693,0.8266843971631206,35,39,9,12
0,6,1,AE160-SRC,0.7473684210526316,0.7446808510638298,0.75,0.7446808510638298,0.4946808510638298,0.7446808510638298,0.8293439716312057,35,36,12,12
0,6,1,CKSAAP-KPCA160-MP,0.7684210526315789,0.7446808510638298,0.7916666666666666,0.7777777777777778,0.5370621716354016,0.7608695652173914,0.8590425531914894,35,38,10,12
0,6,1,CKSAAP-KPCA160-L1-SRC,0.7684210526315789,0.7659574468085106,0.7708333333333334,0.7659574468085106,0.536790780141844,0.7659574468085106,0.8634751773049645,36,37,11,11
0,6,1,AWMKPCA160-L1-SRC,0.7789473684210526,0.851063829787234,0.7083333333333334,0.7407407407407407,0.5646781705098014,0.7920792079207921,0.8249113475177305,40,34,14,7
0,6,2,PCA160-SRC (proposed),0.8297872340425532,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.6595744680851063,0.8297872340425532,0.9216840199185152,39,39,8,8
0,6,2,DeepLSE160-SRC,0.7872340425531915,0.8297872340425532,0.7446808510638298,0.7647058823529411,0.5765599193746258,0.7959183673469388,0.824807605251245,39,35,12,8
0,6,2,AE160-SRC,0.851063829787234,0.8723404255319149,0.8297872340425532,0.8367346938775511,0.7027642214999339,0.8541666666666666,0.9153463105477591,41,39,8,6
0,6,2,CKSAAP-KPCA160-MP,0.8617021276595744,0.8297872340425532,0.8936170212765957,0.8863636363636364,0.7248824356090755,0.8571428571428571,0.9330013580805795,39,42,5,8
0,6,2,CKSAAP-KPCA160-L1-SRC,0.8829787234042553,0.851063829787234,0.9148936170212766,0.9090909090909091,0.7675225788801976,0.8791208791208791,0.9538252602987778,40,43,4,7
0,6,2,AWMKPCA160-L1-SRC,0.851063829787234,0.9148936170212766,0.7872340425531915,0.8113207547169812,0.7079198282312379,0.86,0.9316432775011316,43,37,10,4
