repeat,seed,fold,method,selected,mode,alpha,mcc,latent_dim,selected_epochs,inner_mcc,inner_auc,classification_weight,history_last_epoch
0,6,4,AE160-SRC,,,0.02,,160.0,77.0,0.3981989049014242,0.8206371191135735,0.0,91.0
1,17,0,PCA160-SRC (proposed),False,pca160,0.001,0.4696855317067697,,,,,,
1,17,0,PCA160-SRC (proposed),True,pca160,0.005,0.4749275418625377,,,,,,
1,17,0,PCA160-SRC (proposed),False,pca160,0.01,0.46950378731363074,,,,,,
1,17,0,PCA160-SRC (proposed),False,pca160,0.02,0.46949228864122483,,,,,,
1,17,0,DeepLSE160-SRC,,,0.001,,160.0,11.0,0.6599545966855683,0.8871191135734071,1.0,25.0
1,17,0,DeepLSE160-SRC,,,0.005,,160.0,11.0,0.6599545966855683,0.8885041551246537,1.0,25.0
1,17,0,DeepLSE160-SRC,,,0.01,,160.0,11.0,0.6599545966855683,0.8871191135734072,1.0,25.0
1,17,0,DeepLSE160-SRC,,,0.02,,160.0,11.0,0.6599545966855683,0.8926592797783933,1.0,25.0
1,17,0,AE160-SRC,,,0.001,,160.0,67.0,0.4234048992199705,0.8234072022160666,0.0,81.0
1,17,0,AE160-SRC,,,0.005,,160.0,67.0,0.4475234075187579,0.8289473684210527,0.0,81.0
1,17,0,AE160-SRC,,,0.01,,160.0,67.0,0.5528230328172892,0.832409972299169,0.0,81.0
1,17,0,AE160-SRC,,,0.02,,160.0,67.0,0.5001732201680236,0.827562326869806,0.0,81.0
1,17,1,PCA160-SRC (proposed),False,pca160,0.001,0.40754414484351803,,,,,,
1,17,1,PCA160-SRC (proposed),True,pca160,0.005,0.4182057327004333,,,,,,
1,17,1,PCA160-SRC (proposed),False,pca160,0.01,0.4182057327004333,,,,,,
1,17,1,PCA160-SRC (proposed),False,pca160,0.02,0.4028584029825915,,,,,,
1,17,1,DeepLSE160-SRC,,,0.001,,160.0,22.0,0.5270462766947298,0.8490304709141274,1.0,36.0
1,17,1,DeepLSE160-SRC,,,0.005,,160.0,22.0,0.5270462766947298,0.8566481994459835,1.0,36.0
1,17,1,DeepLSE160-SRC,,,0.01,,160.0,22.0,0.501565493481032,0.85595567867036,1.0,36.0
1,17,1,DeepLSE160-SRC,,,0.02,,160.0,22.0,0.501565493481032,0.8566481994459832,1.0,36.0
1,17,1,AE160-SRC,,,0.001,,160.0,90.0,0.5263157894736842,0.8365650969529086,0.0,100.0
1,17,1,AE160-SRC,,,0.005,,160.0,90.0,0.5789473684210527,0.8324099722991689,0.0,100.0
1,17,1,AE160-SRC,,,0.01,,160.0,90.0,0.5270462766947298,0.8337950138504155,0.0,100.0
1,17,1,AE160-SRC,,,0.02,,160.0,90.0,0.5528230328172892,0.8393351800554016,0.0,100.0
1,17,2,PCA160-SRC (proposed),False,pca160,0.001,0.47975613264042005,,,,,,
1,17,2,PCA160-SRC (proposed),False,pca160,0.005,0.4804118360889831,,,,,,
1,17,2,PCA160-SRC (proposed),True,pca160,0.01,0.49108765466873827,,,,,,
1,17,2,PCA160-SRC (proposed),False,pca160,0.02,0.4791574237499549,,,,,,
1,17,2,DeepLSE160-SRC,,,0.001,,160.0,34.0,0.5528230328172892,0.8483379501385041,1.0,48.0
1,17,2,DeepLSE160-SRC,,,0.005,,160.0,34.0,0.5528230328172892,0.8476454293628809,1.0,48.0
1,17,2,DeepLSE160-SRC,,,0.01,,160.0,34.0,0.5528230328172892,0.8483379501385041,1.0,48.0
1,17,2,DeepLSE160-SRC,,,0.02,,160.0,34.0,0.5528230328172892,0.8511080332409973,1.0,48.0
1,17,2,AE160-SRC,,,0.001,,160.0,64.0,0.592220092263982,0.8552631578947367,0.0,78.0
1,17,2,AE160-SRC,,,0.005,,160.0,64.0,0.592220092263982,0.8677285318559557,0.0,78.0
1,17,2,AE160-SRC,,,0.01,,160.0,64.0,0.6158014854919158,0.8628808864265927,0.0,78.0
1,17,2,AE160-SRC,,,0.02,,160.0,64.0,0.5087055749715826,0.8559556786703602,0.0,78.0
1,17,3,PCA160-SRC (proposed),False,pca160,0.001,0.4819133882598716,,,,,,
1,17,3,PCA160-SRC (proposed),False,pca160,0.005,0.47699904600286197,,,,,,
1,17,3,PCA160-SRC (proposed),False,pca160,0.01,0.4661372658534007,,,,,,
1,17,3,PCA160-SRC (proposed),True,pca160,0.02,0.48215684718611374,,,,,,
1,17,3,DeepLSE160-SRC,,,0.001,,160.0,4.0,0.7938841860374447,0.9445983379501385,1.0,18.0
1,17,3,DeepLSE160-SRC,,,0.005,,160.0,4.0,0.7655473321552593,0.9522160664819945,1.0,18.0
1,17,3,DeepLSE160-SRC,,,0.01,,160.0,4.0,0.7905694150420948,0.9536011080332409,1.0,18.0
1,17,3,DeepLSE160-SRC,,,0.02,,160.0,4.0,0.7905694150420948,0.953601108033241,1.0,18.0
1,17,3,AE160-SRC,,,0.001,,160.0,61.0,0.4016096644512494,0.8414127423822715,0.0,75.0
1,17,3,AE160-SRC,,,0.005,,160.0,61.0,0.3981989049014242,0.817174515235457,0.0,75.0
1,17,3,AE160-SRC,,,0.01,,160.0,61.0,0.3175536744149779,0.8109418282548477,0.0,75.0
1,17,3,AE160-SRC,,,0.02,,160.0,61.0,0.34317639027649555,0.8150969529085873,0.0,75.0
1,17,4,PCA160-SRC (proposed),False,pca160,0.001,0.5142651236134448,,,,,,
1,17,4,PCA160-SRC (proposed),False,pca160,0.005,0.5354719328346177,,,,,,
1,17,4,PCA160-SRC (proposed),False,pca160,0.01,0.5409637364707709,,,,,,
1,17,4,PCA160-SRC (proposed),True,pca160,0.02,0.5672821466663772,,,,,,
1,17,4,DeepLSE160-SRC,,,0.001,,160.0,5.0,0.5270462766947298,0.868421052631579,1.0,19.0
1,17,4,DeepLSE160-SRC,,,0.005,,160.0,5.0,0.5270462766947298,0.8642659279778394,1.0,19.0
1,17,4,DeepLSE160-SRC,,,0.01,,160.0,5.0,0.5270462766947298,0.8635734072022161,1.0,19.0
1,17,4,DeepLSE160-SRC,,,0.02,,160.0,5.0,0.5270462766947298,0.8656509695290858,1.0,19.0
1,17,4,AE160-SRC,,,0.001,,160.0,79.0,0.5330017908890261,0.8871191135734073,0.0,93.0
1,17,4,AE160-SRC,,,0.005,,160.0,79.0,0.6105716541821837,0.881578947368421,0.0,93.0
1,17,4,AE160-SRC,,,0.01,,160.0,79.0,0.6396021490668313,0.8725761772853187,0.0,93.0
1,17,4,AE160-SRC,,,0.02,,160.0,79.0,0.6158014854919158,0.8704986149584488,0.0,93.0
2,29,0,PCA160-SRC (proposed),False,pca160,0.001,0.5331532140042778,,,,,,
2,29,0,PCA160-SRC (proposed),True,pca160,0.005,0.5331700883089807,,,,,,
2,29,0,PCA160-SRC (proposed),False,pca160,0.01,0.5278950702997584,,,,,,
2,29,0,PCA160-SRC (proposed),False,pca160,0.02,0.5278489208698884,,,,,,
2,29,0,DeepLSE160-SRC,,,0.001,,160.0,5.0,0.6351073488299558,0.92797783933518,1.0,19.0
2,29,0,DeepLSE160-SRC,,,0.005,,160.0,5.0,0.6324555320336758,0.9307479224376731,1.0,19.0
2,29,0,DeepLSE160-SRC,,,0.01,,160.0,5.0,0.6324555320336758,0.9342105263157894,1.0,19.0
2,29,0,DeepLSE160-SRC,,,0.02,,160.0,5.0,0.6599545966855683,0.9376731301939057,1.0,19.0
2,29,0,AE160-SRC,,,0.001,,160.0,80.0,0.5292561240249631,0.8621883656509695,0.0,94.0
2,29,0,AE160-SRC,,,0.005,,160.0,80.0,0.4743416490252569,0.8545706371191136,0.0,94.0
2,29,0,AE160-SRC,,,0.01,,160.0,80.0,0.4763305116224668,0.8580332409972299,0.0,94.0
2,29,0,AE160-SRC,,,0.02,,160.0,80.0,0.5001732201680236,0.8545706371191136,0.0,94.0
2,29,1,PCA160-SRC (proposed),False,pca160,0.001,0.49603174603174605,,,,,,
2,29,1,PCA160-SRC (proposed),False,pca160,0.005,0.49603174603174605,,,,,,
2,29,1,PCA160-SRC (proposed),False,pca160,0.01,0.49075455255709116,,,,,,
2,29,1,PCA160-SRC (proposed),True,pca160,0.02,0.5013369378113057,,,,,,
2,29,1,DeepLSE160-SRC,,,0.001,,160.0,13.0,0.631578947368421,0.871191135734072,1.0,27.0
2,29,1,DeepLSE160-SRC,,,0.005,,160.0,13.0,0.631578947368421,0.8691135734072023,1.0,27.0
2,29,1,DeepLSE160-SRC,,,0.01,,160.0,13.0,0.631578947368421,0.8698060941828255,1.0,27.0
2,29,1,DeepLSE160-SRC,,,0.02,,160.0,13.0,0.631578947368421,0.871191135734072,1.0,27.0
2,29,1,AE160-SRC,,,0.001,,160.0,70.0,0.5797509043642028,0.8981994459833795,0.0,84.0
2,29,1,AE160-SRC,,,0.005,,160.0,70.0,0.504385279541804,0.8642659279778394,0.0,84.0
2,29,1,AE160-SRC,,,0.01,,160.0,70.0,0.4845437118523489,0.8642659279778394,0.0,84.0
2,29,1,AE160-SRC,,,0.02,,160.0,70.0,0.5330017908890261,0.863573407202216,0.0,84.0
2,29,2,PCA160-SRC (proposed),False,pca160,0.001,0.5081143456510427,,,,,,
2,29,2,PCA160-SRC (proposed),False,pca160,0.005,0.5081143456510427,,,,,,
2,29,2,PCA160-SRC (proposed),False,pca160,0.01,0.5081143456510427,,,,,,
2,29,2,PCA160-SRC (proposed),True,pca160,0.02,0.5344214572055112,,,,,,
2,29,2,DeepLSE160-SRC,,,0.001,,160.0,25.0,0.5001732201680236,0.7832409972299169,1.0,39.0
2,29,2,DeepLSE160-SRC,,,0.005,,160.0,25.0,0.5001732201680236,0.7797783933518007,1.0,39.0
2,29,2,DeepLSE160-SRC,,,0.01,,160.0,25.0,0.5001732201680236,0.7797783933518004,1.0,39.0
2,29,2,DeepLSE160-SRC,,,0.02,,160.0,25.0,0.5001732201680236,0.7832409972299169,1.0,39.0
2,29,2,AE160-SRC,,,0.001,,160.0,90.0,0.501565493481032,0.8386426592797783,0.0,100.0
2,29,2,AE160-SRC,,,0.005,,160.0,90.0,0.4763305116224668,0.8275623268698061,0.0,100.0
2,29,2,AE160-SRC,,,0.01,,160.0,90.0,0.501565493481032,0.8310249307479225,0.0,100.0
2,29,2,AE160-SRC,,,0.02,,160.0,90.0,0.501565493481032,0.8344875346260389,0.0,100.0
2,29,3,PCA160-SRC (proposed),False,pca160,0.001,0.42917257826456273,,,,,,
2,29,3,PCA160-SRC (proposed),True,pca160,0.005,0.4451991096026712,,,,,,
2,29,3,PCA160-SRC (proposed),False,pca160,0.01,0.4451991096026712,,,,,,
2,29,3,PCA160-SRC (proposed),False,pca160,0.02,0.42376115077581883,,,,,,
2,29,3,DeepLSE160-SRC,,,0.001,,160.0,9.0,0.5574784668619939,0.8594182825484764,1.0,23.0
2,29,3,DeepLSE160-SRC,,,0.005,,160.0,9.0,0.5574784668619939,0.8587257617728532,1.0,23.0
2,29,3,DeepLSE160-SRC,,,0.01,,160.0,9.0,0.5574784668619939,0.8545706371191136,1.0,23.0
2,29,3,DeepLSE160-SRC,,,0.02,,160.0,9.0,0.5574784668619939,0.8552631578947368,1.0,23.0
2,29,3,AE160-SRC,,,0.001,,160.0,88.0,0.5263157894736842,0.8351800554016621,0.0,100.0
2,29,3,AE160-SRC,,,0.005,,160.0,88.0,0.5863019699779287,0.8365650969529086,0.0,100.0
2,29,3,AE160-SRC,,,0.01,,160.0,88.0,0.5863019699779287,0.8386426592797784,0.0,100.0
2,29,3,AE160-SRC,,,0.02,,160.0,88.0,0.6105716541821837,0.8414127423822715,0.0,100.0
2,29,4,PCA160-SRC (proposed),False,pca160,0.001,0.41367815141882475,,,,,,
2,29,4,PCA160-SRC (proposed),False,pca160,0.005,0.4242852835064869,,,,,,
