repeat,seed,fold,view,weight
0,6,0,AAC,0.25484429943618453
0,6,0,CKSAAGP,0.23608963474414227
0,6,0,DPC,0.23323034615137309
0,6,0,PseAAC,0.2758357196683001
0,6,1,AAC,0.24459564499873548
0,6,1,CKSAAGP,0.24391095678355895
0,6,1,DPC,0.22059729080571183
0,6,1,PseAAC,0.2908961074119938
0,6,2,AAC,0.23253425455794227
0,6,2,CKSAAGP,0.2532293203179063
0,6,2,DPC,0.26091630542416555
0,6,2,PseAAC,0.25332011969998597
0,6,3,AAC,0.2548483115833784
0,6,3,CKSAAGP,0.2412312190255614
0,6,3,DPC,0.23109663923016005
0,6,3,PseAAC,0.27282383016090017
0,6,4,AAC,0.243232671466899
0,6,4,CKSAAGP,0.25261436275289606
0,6,4,DPC,0.23750193753019788
0,6,4,PseAAC,0.2666510282500072
1,17,0,AAC,0.25078323085554755
1,17,0,CKSAAGP,0.23517443259767482
1,17,0,DPC,0.22734634527827435
1,17,0,PseAAC,0.28669599126850326
1,17,1,AAC,0.22466201373953368
1,17,1,CKSAAGP,0.2573012606315538
1,17,1,DPC,0.26545845561721304
1,17,1,PseAAC,0.2525782700116995
1,17,2,AAC,0.24417802421971332
1,17,2,CKSAAGP,0.258957862892826
1,17,2,DPC,0.23101272360404662
1,17,2,PseAAC,0.26585138928341395
1,17,3,AAC,0.2594785846243864
1,17,3,CKSAAGP,0.2293828771585097
1,17,3,DPC,0.24446154486915325
1,17,3,PseAAC,0.26667699334795064
1,17,4,AAC,0.24823345573692618
1,17,4,CKSAAGP,0.2503747937559532
1,17,4,DPC,0.21779293815576958
1,17,4,PseAAC,0.2835988123513512
2,29,0,AAC,0.2508834824143258
2,29,0,CKSAAGP,0.23595459040995334
2,29,0,DPC,0.2408775506647456
2,29,0,PseAAC,0.2722843765109752
2,29,1,AAC,0.24451569087520947
2,29,1,CKSAAGP,0.24647309004313075
2,29,1,DPC,0.2370886645118445
2,29,1,PseAAC,0.27192255456981546
2,29,2,AAC,0.25485140520817523
2,29,2,CKSAAGP,0.2320696179180934
2,29,2,DPC,0.24178781373706992
2,29,2,PseAAC,0.27129116313666135
2,29,3,AAC,0.23621821652871108
2,29,3,CKSAAGP,0.2566744308976995
2,29,3,DPC,0.2429257960189135
2,29,3,PseAAC,0.2641815565546759
2,29,4,AAC,0.24587382919112805
2,29,4,CKSAAGP,0.2526782849558821
2,29,4,DPC,0.22477923060821045
2,29,4,PseAAC,0.27666865524477946
3,41,0,AAC,0.2383714194284402
3,41,0,CKSAAGP,0.22740958736024836
3,41,0,DPC,0.2442358744197775
3,41,0,PseAAC,0.2899831187915338
3,41,1,AAC,0.24627834772112076
3,41,1,CKSAAGP,0.2594284670358466
3,41,1,DPC,0.24231583308589236
3,41,1,PseAAC,0.25197735215714034
3,41,2,AAC,0.24283982377019236
3,41,2,CKSAAGP,0.251124531305412
3,41,2,DPC,0.23549702276652298
3,41,2,PseAAC,0.27053862215787267
3,41,3,AAC,0.25370809525876603
3,41,3,CKSAAGP,0.2580408657171667
3,41,3,DPC,0.2148302283566571
3,41,3,PseAAC,0.2734208106674101
3,41,4,AAC,0.2451737543087417
3,41,4,CKSAAGP,0.23862515773691154
3,41,4,DPC,0.2498545628606107
3,41,4,PseAAC,0.26634652509373596
4,53,0,AAC,0.24071949903860376
4,53,0,CKSAAGP,0.26458924076109297
4,53,0,DPC,0.2283779858849267
4,53,0,PseAAC,0.26631327431537666
4,53,1,AAC,0.24837354038982648
4,53,1,CKSAAGP,0.24701252973631713
4,53,1,DPC,0.24008523999982403
4,53,1,PseAAC,0.26452868987403216
4,53,2,AAC,0.24600377924022296
4,53,2,CKSAAGP,0.23637358282069007
4,53,2,DPC,0.24091144016367186
4,53,2,PseAAC,0.2767111977754151
4,53,3,AAC,0.23793844915762094
4,53,3,CKSAAGP,0.2415878510553471
4,53,3,DPC,0.24545316011778393
4,53,3,PseAAC,0.2750205396692479
4,53,4,AAC,0.25621586506497296
4,53,4,CKSAAGP,0.23812951648341843
4,53,4,DPC,0.2285395570813878
4,53,4,PseAAC,0.27711506137022074
