dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
16,0.6838983050847458,0.029827017322674735,0.6546610169491526,0.7309322033898306,0.6703389830508475,0.03841704053099366,0.6186440677966102,0.7203389830508474,0.6974576271186441,0.028832247180006782,0.6610169491525424,0.7415254237288136,0.36805807638199284,0.05947075524264451,0.3101276884376899,0.4619680991343928,0.6793466944451083,0.032541525192564674,0.6417582417582418,0.728051391862955,0.7608122665900604,0.017626515145502394,0.7390656420568803,0.7863939959781672
32,0.7334745762711864,0.013349138984765599,0.7161016949152542,0.7521186440677966,0.7203389830508474,0.014981075872596332,0.7033898305084746,0.7415254237288136,0.7466101694915255,0.012133746663793504,0.7288135593220338,0.7627118644067796,0.4671145344682338,0.02667169862822312,0.4323431383659636,0.5043504935503921,0.7299094747691199,0.01391789460140166,0.7124463519313304,0.7494646680942184,0.813002729100833,0.010918167643735734,0.8009910945130708,0.8302391554151105
64,0.7843220338983051,0.01538024696006911,0.760593220338983,0.8008474576271186,0.7813559322033898,0.0288322471800068,0.7457627118644068,0.8177966101694916,0.7872881355932203,0.009186221774863865,0.7754237288135594,0.8008474576271186,0.5688547968390157,0.0307562144671027,0.5214158557062858,0.6020409158091431,0.7834923816086404,0.01814374263090296,0.7569892473118279,0.8041666666666667,0.8664464234415398,0.010438306376512043,0.8498455903476014,0.8770288710140764
96,0.7813559322033898,0.020343396413826768,0.7478813559322034,0.798728813559322,0.7923728813559322,0.02470742328324281,0.7584745762711864,0.826271186440678,0.7703389830508475,0.03148165359492659,0.7372881355932204,0.8050847457627118,0.5631979458954903,0.040678913891375026,0.4958740146671922,0.5975059050057843,0.7837499787119384,0.01959298311287387,0.750524109014675,0.7974683544303798,0.8730716748060902,0.01374897456879051,0.8533287848319449,0.8918234702671646
128,0.7906779661016949,0.00852737788029578,0.7817796610169492,0.8029661016949152,0.8076271186440678,0.012207508721091479,0.7966101694915254,0.826271186440678,0.7737288135593221,0.012921992103370276,0.7584745762711864,0.7923728813559322,0.5817700611260218,0.01707931974423599,0.5638073886905366,0.6065914740369082,0.7941566195326433,0.008453246683478912,0.7849686847599165,0.8074534161490683,0.8799913817868429,0.007091934878452098,0.8710858948577995,0.8908180120654983
160,0.7906779661016949,0.00878662769208799,0.777542372881356,0.798728813559322,0.8101694915254237,0.006962574883540269,0.8008474576271186,0.8177966101694916,0.771186440677966,0.014053494874387285,0.7542372881355932,0.7838983050847458,0.5818363895223703,0.017398312753417074,0.5556886929988459,0.5977206150779373,0.7947013993868601,0.007823538202401756,0.782608695652174,0.8016701461377871,0.881072249353634,0.006911258870652486,0.8710140764148233,0.8891302786555587
192,0.7860169491525424,0.012353711641621435,0.7648305084745762,0.7966101694915254,0.8093220338983051,0.011210810640104242,0.7923728813559322,0.8220338983050848,0.7627118644067796,0.015854480452431936,0.7372881355932204,0.7796610169491526,0.5726850336597955,0.024616338278635283,0.5304664332861576,0.5939887041393643,0.7909085704365161,0.011568726452244821,0.7711340206185567,0.8016528925619835,0.880734702671646,0.00920007464594141,0.8666151967825337,0.8894355070382074
224,0.7872881355932203,0.012317323604871724,0.7690677966101694,0.798728813559322,0.8169491525423729,0.013860531554064541,0.8008474576271186,0.8305084745762712,0.7576271186440678,0.013532813070060393,0.7372881355932204,0.7669491525423728,0.5756236824302542,0.024695346480442745,0.5392258744120251,0.5986680967881539,0.7934082715127587,0.01203700190377083,0.7761806981519507,0.8049281314168378,0.8781061476587186,0.009960303116213024,0.8633115484056305,0.8900639184142487
240,0.7902542372881356,0.014524691950002173,0.7711864406779662,0.809322033898305,0.8186440677966103,0.015967325153743012,0.7923728813559322,0.8347457627118644,0.7618644067796609,0.016519990414930436,0.7415254237288136,0.7838983050847458,0.5814940993255178,0.029031308918639528,0.5428604427004594,0.6194453628881942,0.7960394052562835,0.014194750404533708,0.7759336099585062,0.8140495867768595,0.8774885090491237,0.009961691490167257,0.8607081298477449,0.8862575409365125
