repeat,seed,dimension,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
3,41,192,0.788135593220339,0.8135593220338984,0.7627118644067796,0.7741935483870968,0.5770175983068111,0.7933884297520661,0.8769750071818443,192,180,56,44
3,41,224,0.798728813559322,0.8305084745762712,0.7669491525423728,0.7808764940239044,0.5986680967881539,0.8049281314168378,0.8792731973570812,196,181,55,40
3,41,240,0.809322033898305,0.8347457627118644,0.7838983050847458,0.7943548387096774,0.6194453628881942,0.8140495867768595,0.8803325193909795,197,185,51,39
4,53,16,0.6546610169491526,0.6186440677966102,0.690677966101695,0.6666666666666666,0.3101276884376899,0.6417582417582418,0.7390656420568803,146,163,73,90
4,53,32,0.7161016949152542,0.7033898305084746,0.7288135593220338,0.7217391304347827,0.4323431383659636,0.7124463519313304,0.8093938523412811,166,172,64,70
4,53,64,0.760593220338983,0.7457627118644068,0.7754237288135594,0.7685589519650655,0.5214158557062858,0.7569892473118279,0.8498455903476014,176,183,53,60
4,53,96,0.7478813559322034,0.7584745762711864,0.7372881355932204,0.7427385892116183,0.4958740146671922,0.750524109014675,0.8533287848319449,179,174,62,57
4,53,128,0.8029661016949152,0.826271186440678,0.7796610169491526,0.7894736842105263,0.6065914740369082,0.8074534161490683,0.878177966101695,195,184,52,41
4,53,160,0.777542372881356,0.8008474576271186,0.7542372881355932,0.7651821862348178,0.5556886929988459,0.782608695652174,0.8710140764148233,189,178,58,47
4,53,192,0.7648305084745762,0.7923728813559322,0.7372881355932204,0.751004016064257,0.5304664332861576,0.7711340206185567,0.8666151967825337,187,174,62,49
4,53,224,0.7690677966101694,0.8008474576271186,0.7372881355932204,0.7529880478087649,0.5392258744120251,0.7761806981519507,0.8633115484056305,189,174,62,47
4,53,240,0.7711864406779662,0.7923728813559322,0.75,0.7601626016260162,0.5428604427004594,0.7759336099585062,0.8607081298477449,187,177,59,49
