dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
96,0.7478813559322034,,0.7478813559322034,0.7478813559322034,0.7584745762711864,,0.7584745762711864,0.7584745762711864,0.7372881355932204,,0.7372881355932204,0.7372881355932204,0.4958740146671922,,0.4958740146671922,0.4958740146671922,0.750524109014675,,0.750524109014675,0.750524109014675,0.8533287848319449,,0.8533287848319449,0.8533287848319449
160,0.777542372881356,,0.777542372881356,0.777542372881356,0.8008474576271186,,0.8008474576271186,0.8008474576271186,0.7542372881355932,,0.7542372881355932,0.7542372881355932,0.5556886929988459,,0.5556886929988459,0.5556886929988459,0.782608695652174,,0.782608695652174,0.782608695652174,0.8710140764148233,,0.8710140764148233,0.8710140764148233
192,0.7648305084745762,,0.7648305084745762,0.7648305084745762,0.7923728813559322,,0.7923728813559322,0.7923728813559322,0.7372881355932204,,0.7372881355932204,0.7372881355932204,0.5304664332861576,,0.5304664332861576,0.5304664332861576,0.7711340206185567,,0.7711340206185567,0.7711340206185567,0.8666151967825337,,0.8666151967825337,0.8666151967825337
224,0.7690677966101694,,0.7690677966101694,0.7690677966101694,0.8008474576271186,,0.8008474576271186,0.8008474576271186,0.7372881355932204,,0.7372881355932204,0.7372881355932204,0.5392258744120251,,0.5392258744120251,0.5392258744120251,0.7761806981519507,,0.7761806981519507,0.7761806981519507,0.8633115484056305,,0.8633115484056305,0.8633115484056305
240,0.7711864406779662,,0.7711864406779662,0.7711864406779662,0.7923728813559322,,0.7923728813559322,0.7923728813559322,0.75,,0.75,0.75,0.5428604427004594,,0.5428604427004594,0.5428604427004594,0.7759336099585062,,0.7759336099585062,0.7759336099585062,0.8607081298477449,,0.8607081298477449,0.8607081298477449
