repeat,seed,dimension,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,53,96,0.7478813559322034,0.7584745762711864,0.7372881355932204,0.7427385892116183,0.4958740146671922,0.750524109014675,0.8533287848319449,179,174,62,57
0,53,160,0.777542372881356,0.8008474576271186,0.7542372881355932,0.7651821862348178,0.5556886929988459,0.782608695652174,0.8710140764148233,189,178,58,47
0,53,192,0.7648305084745762,0.7923728813559322,0.7372881355932204,0.751004016064257,0.5304664332861576,0.7711340206185567,0.8666151967825337,187,174,62,49
0,53,224,0.7690677966101694,0.8008474576271186,0.7372881355932204,0.7529880478087649,0.5392258744120251,0.7761806981519507,0.8633115484056305,189,174,62,47
0,53,240,0.7711864406779662,0.7923728813559322,0.75,0.7601626016260162,0.5428604427004594,0.7759336099585062,0.8607081298477449,187,177,59,49
