repeat,seed,fold,dimension,selected_alpha,dictionary_atoms,overcompleteness_ratio,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,53,0,96,0.001,377,3.9270833333333335,0.7368421052631579,0.6666666666666666,0.8085106382978723,0.7804878048780488,0.47966323200198663,0.7191011235955056,0.8568262411347517,32,38,9,16
0,53,0,160,0.02,377,2.35625,0.8,0.7708333333333334,0.8297872340425532,0.8222222222222222,0.6014208616247679,0.7956989247311828,0.8772163120567376,37,39,8,11
0,53,0,192,0.02,377,1.9635416666666667,0.7473684210526316,0.7708333333333334,0.723404255319149,0.74,0.49489613336650645,0.7551020408163265,0.8710106382978724,37,34,13,11
0,53,0,224,0.005,377,1.6830357142857142,0.7473684210526316,0.7291666666666666,0.7659574468085106,0.7608695652173914,0.49534372941566207,0.7446808510638298,0.8670212765957447,35,36,11,13
0,53,0,240,0.01,377,1.5708333333333333,0.7684210526315789,0.7291666666666666,0.8085106382978723,0.7954545454545454,0.5391130279608405,0.7608695652173914,0.8639184397163121,35,38,9,13
0,53,1,96,0.001,377,3.9270833333333335,0.7157894736842105,0.6808510638297872,0.75,0.7272727272727273,0.4320015360081921,0.7032967032967034,0.7907801418439716,32,36,12,15
0,53,1,160,0.02,377,2.35625,0.7052631578947368,0.7021276595744681,0.7083333333333334,0.7021276595744681,0.4104609929078014,0.7021276595744681,0.8249113475177304,33,34,14,14
0,53,1,192,0.02,377,1.9635416666666667,0.7157894736842105,0.723404255319149,0.7083333333333334,0.7083333333333334,0.4317375886524823,0.7157894736842105,0.8324468085106382,34,34,14,13
0,53,1,224,0.02,377,1.6830357142857142,0.7157894736842105,0.7446808510638298,0.6875,0.7,0.4327567085491873,0.7216494845360825,0.8311170212765957,35,33,15,12
0,53,1,240,0.02,377,1.5708333333333333,0.7157894736842105,0.723404255319149,0.7083333333333334,0.7083333333333334,0.4317375886524823,0.7157894736842105,0.8386524822695035,34,34,14,13
0,53,2,96,0.005,378,3.9375,0.7446808510638298,0.8723404255319149,0.6170212765957447,0.6949152542372882,0.5061366753560107,0.7735849056603774,0.866908103214124,41,29,18,6
0,53,2,160,0.02,378,2.3625,0.7872340425531915,0.851063829787234,0.723404255319149,0.7547169811320755,0.5792071321891946,0.8,0.8709823449524672,40,34,13,7
0,53,2,192,0.01,378,1.96875,0.7978723404255319,0.851063829787234,0.7446808510638298,0.7692307692307693,0.5991446895152781,0.8080808080808081,0.869171570846537,40,35,12,7
0,53,2,224,0.005,378,1.6875,0.7872340425531915,0.8936170212765957,0.6808510638297872,0.7368421052631579,0.587929801017612,0.8076923076923077,0.8533272974196469,42,32,15,5
0,53,2,240,0.001,378,1.575,0.7978723404255319,0.8936170212765957,0.7021276595744681,0.75,0.606976978666884,0.8155339805825242,0.8424626527840652,42,33,14,5
0,53,3,96,0.02,378,3.9375,0.8085106382978723,0.8297872340425532,0.7872340425531915,0.7959183673469388,0.6175806794999419,0.8125,0.9008601177003168,39,37,10,8
0,53,3,160,0.01,378,2.3625,0.8085106382978723,0.8297872340425532,0.7872340425531915,0.7959183673469388,0.6175806794999419,0.8125,0.9076505205975555,39,37,10,8
0,53,3,192,0.02,378,1.96875,0.8085106382978723,0.8297872340425532,0.7872340425531915,0.7959183673469388,0.6175806794999419,0.8125,0.9108193752829334,39,37,10,8
0,53,3,224,0.02,378,1.6875,0.8085106382978723,0.8297872340425532,0.7872340425531915,0.7959183673469388,0.6175806794999419,0.8125,0.908103214124038,39,37,10,8
0,53,3,240,0.01,378,1.575,0.8191489361702128,0.851063829787234,0.7872340425531915,0.8,0.6396021490668313,0.8247422680412371,0.9035762788592123,40,37,10,7
0,53,4,96,0.001,378,3.9375,0.7340425531914894,0.7446808510638298,0.723404255319149,0.7291666666666666,0.4681910919173118,0.7368421052631579,0.8578542326844726,35,34,13,12
0,53,4,160,0.02,378,2.3625,0.7872340425531915,0.851063829787234,0.723404255319149,0.7547169811320755,0.5792071321891946,0.8,0.8836577636939792,40,34,13,7
0,53,4,192,0.001,378,1.96875,0.7553191489361702,0.7872340425531915,0.723404255319149,0.74,0.5116817192534651,0.7628865979381443,0.8637392485287461,37,34,13,10
0,53,4,224,0.02,378,1.6875,0.7872340425531915,0.8085106382978723,0.7659574468085106,0.7755102040816326,0.5749889084999459,0.7916666666666666,0.8614757808963331,38,36,11,9
0,53,4,240,0.01,378,1.575,0.7553191489361702,0.7659574468085106,0.7446808510638298,0.75,0.5107539184552492,0.7578947368421053,0.854232684472612,36,35,12,11
