repeat,seed,fold,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,0,PCA64-SRC (initial reference),0.7789473684210526,0.7708333333333334,0.7872340425531915,0.7872340425531915,0.5580673758865248,0.7789473684210526,0.8723404255319149,37,37,10,11
0,6,0,AntiDMPpred-RF (reimplemented),0.7473684210526316,0.7708333333333334,0.723404255319149,0.74,0.49489613336650645,0.7551020408163265,0.7936613475177304,37,34,13,11
0,6,0,RBF-SVM,0.7684210526315789,0.7916666666666666,0.7446808510638298,0.76,0.5370621716354016,0.7755102040816326,0.8554964539007092,38,35,12,10
0,6,0,Gradient Boosting,0.6947368421052632,0.7291666666666666,0.6595744680851063,0.6862745098039216,0.3897791636617124,0.7070707070707071,0.7717198581560284,35,31,16,13
0,6,0,Logistic Regression,0.6631578947368421,0.8333333333333334,0.48936170212765956,0.625,0.3441050115584464,0.7142857142857143,0.7313829787234043,40,23,24,8
0,6,1,PCA64-SRC (initial reference),0.7684210526315789,0.7659574468085106,0.7708333333333334,0.7659574468085106,0.536790780141844,0.7659574468085106,0.8585992907801417,36,37,11,11
0,6,1,AntiDMPpred-RF (reimplemented),0.7157894736842105,0.7446808510638298,0.6875,0.7,0.4327567085491873,0.7216494845360825,0.8020833333333334,35,33,15,12
0,6,1,RBF-SVM,0.7894736842105263,0.7659574468085106,0.8125,0.8,0.5792282099042968,0.782608695652174,0.8590425531914894,36,39,9,11
0,6,1,Gradient Boosting,0.6947368421052632,0.6808510638297872,0.7083333333333334,0.6956521739130435,0.389357022763609,0.6881720430107527,0.8089539007092198,32,34,14,15
0,6,1,Logistic Regression,0.7894736842105263,0.723404255319149,0.8541666666666666,0.8292682926829268,0.5830234993456983,0.7727272727272727,0.8346631205673759,34,41,7,13
0,6,2,PCA64-SRC (initial reference),0.8936170212765957,0.9148936170212766,0.8723404255319149,0.8775510204081632,0.7879477634999258,0.8958333333333334,0.949298325033952,43,41,6,4
0,6,2,AntiDMPpred-RF (reimplemented),0.7021276595744681,0.6595744680851063,0.7446808510638298,0.7209302325581395,0.405727350671033,0.6888888888888889,0.8488003621548211,31,35,12,16
0,6,2,RBF-SVM,0.7659574468085106,0.723404255319149,0.8085106382978723,0.7906976744186046,0.5338517771987276,0.7555555555555555,0.8483476686283387,34,38,9,13
0,6,2,Gradient Boosting,0.7340425531914894,0.723404255319149,0.7446808510638298,0.7391304347826086,0.4681910919173118,0.7311827956989247,0.8189225894069715,34,35,12,13
0,6,2,Logistic Regression,0.6808510638297872,0.723404255319149,0.6382978723404256,0.6666666666666666,0.36301920849513475,0.6938775510204082,0.7650520597555455,34,30,17,13
0,6,3,PCA64-SRC (initial reference),0.7872340425531915,0.8085106382978723,0.7659574468085106,0.7755102040816326,0.5749889084999459,0.7916666666666666,0.8727931190583975,38,36,11,9
0,6,3,AntiDMPpred-RF (reimplemented),0.7978723404255319,0.8936170212765957,0.7021276595744681,0.75,0.606976978666884,0.8155339805825242,0.8467632412856496,42,33,14,5
0,6,3,RBF-SVM,0.7978723404255319,0.8297872340425532,0.7659574468085106,0.78,0.5969620057957092,0.8041237113402062,0.8646446355817112,39,36,11,8
0,6,3,Gradient Boosting,0.6808510638297872,0.7021276595744681,0.6595744680851063,0.673469387755102,0.3620300534999659,0.6875,0.7143503847894975,33,31,16,14
0,6,3,Logistic Regression,0.776595744680851,0.8297872340425532,0.723404255319149,0.75,0.5563486402641867,0.7878787878787878,0.8085106382978725,39,34,13,8
0,6,4,PCA64-SRC (initial reference),0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.48936170212765956,0.7446808510638298,0.8374830239927569,35,35,12,12
0,6,4,AntiDMPpred-RF (reimplemented),0.7446808510638298,0.7659574468085106,0.723404255319149,0.7346938775510204,0.4898053664999539,0.75,0.7965142598460841,36,34,13,11
0,6,4,RBF-SVM,0.723404255319149,0.723404255319149,0.723404255319149,0.723404255319149,0.44680851063829785,0.723404255319149,0.8114531462200091,34,34,13,13
0,6,4,Gradient Boosting,0.6702127659574468,0.6382978723404256,0.7021276595744681,0.6818181818181818,0.3411211461689767,0.6593406593406593,0.765504753282028,30,33,14,17
0,6,4,Logistic Regression,0.7021276595744681,0.7446808510638298,0.6595744680851063,0.6862745098039216,0.405727350671033,0.7142857142857143,0.7301946582163875,35,31,16,12
1,17,0,PCA64-SRC (initial reference),0.7684210526315789,0.6666666666666666,0.8723404255319149,0.8421052631578947,0.5500913313380231,0.7441860465116279,0.887854609929078,32,41,6,16
1,17,0,AntiDMPpred-RF (reimplemented),0.7263157894736842,0.8333333333333334,0.6170212765957447,0.6896551724137931,0.4617525489302572,0.7547169811320755,0.7515514184397164,40,29,18,8
1,17,0,RBF-SVM,0.7052631578947368,0.6666666666666666,0.7446808510638298,0.7272727272727273,0.4124459109214015,0.6956521739130435,0.8200354609929078,32,35,12,16
1,17,0,Gradient Boosting,0.6421052631578947,0.7083333333333334,0.574468085106383,0.6296296296296297,0.2854712145683465,0.6666666666666666,0.7158687943262412,34,27,20,14
1,17,0,Logistic Regression,0.7052631578947368,0.7291666666666666,0.6808510638297872,0.7,0.4105640568287161,0.7142857142857143,0.722517730496454,35,32,15,13
1,17,1,PCA64-SRC (initial reference),0.7578947368421053,0.7021276595744681,0.8125,0.7857142857142857,0.5180838949214499,0.7415730337078652,0.8812056737588653,33,39,9,14
1,17,1,AntiDMPpred-RF (reimplemented),0.8421052631578947,0.851063829787234,0.8333333333333334,0.8333333333333334,0.6843971631205674,0.8421052631578947,0.9279698581560284,40,40,8,7
1,17,1,RBF-SVM,0.8315789473684211,0.8085106382978723,0.8541666666666666,0.8444444444444444,0.6635602864420872,0.8260869565217391,0.9202127659574468,38,41,7,9
1,17,1,Gradient Boosting,0.7684210526315789,0.7021276595744681,0.8333333333333334,0.8048780487804879,0.5405160300917908,0.75,0.8856382978723405,33,40,8,14
1,17,1,Logistic Regression,0.7684210526315789,0.7872340425531915,0.75,0.7551020408163265,0.537472336662294,0.7708333333333334,0.8182624113475178,37,36,12,10
1,17,2,PCA64-SRC (initial reference),0.776595744680851,0.8297872340425532,0.723404255319149,0.75,0.5563486402641867,0.7878787878787878,0.8592123132639203,39,34,13,8
1,17,2,AntiDMPpred-RF (reimplemented),0.6808510638297872,0.7446808510638298,0.6170212765957447,0.660377358490566,0.3646859721191225,0.7,0.7320054323223177,35,29,18,12
1,17,2,RBF-SVM,0.7978723404255319,0.8297872340425532,0.7659574468085106,0.78,0.5969620057957092,0.8041237113402062,0.8415572657311,39,36,11,8
1,17,2,Gradient Boosting,0.6702127659574468,0.723404255319149,0.6170212765957447,0.6538461538461539,0.3423683940087303,0.6868686868686869,0.6903576278859211,34,29,18,13
1,17,2,Logistic Regression,0.723404255319149,0.7446808510638298,0.7021276595744681,0.7142857142857143,0.4472135954999579,0.7291666666666666,0.7917609778180172,35,33,14,12
1,17,3,PCA64-SRC (initial reference),0.8085106382978723,0.7659574468085106,0.851063829787234,0.8372093023255814,0.619268061550524,0.8,0.8673607967406066,36,40,7,11
1,17,3,AntiDMPpred-RF (reimplemented),0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.48936170212765956,0.7446808510638298,0.8397464916251698,35,35,12,12
1,17,3,RBF-SVM,0.7978723404255319,0.723404255319149,0.8723404255319149,0.85,0.6024640760767093,0.7816091954022989,0.8433680398370303,34,41,6,13
1,17,3,Gradient Boosting,0.6595744680851063,0.574468085106383,0.7446808510638298,0.6923076923076923,0.32387513781564786,0.627906976744186,0.765504753282028,27,35,12,20
1,17,3,Logistic Regression,0.6808510638297872,0.6170212765957447,0.7446808510638298,0.7073170731707317,0.3646859721191225,0.6590909090909091,0.7618832050701675,29,35,12,18
1,17,4,PCA64-SRC (initial reference),0.7978723404255319,0.851063829787234,0.7446808510638298,0.7692307692307693,0.5991446895152781,0.8080808080808081,0.8709823449524672,40,35,12,7
1,17,4,AntiDMPpred-RF (reimplemented),0.6914893617021277,0.7021276595744681,0.6808510638297872,0.6875,0.3830654388414369,0.6947368421052632,0.7544137618832051,33,32,15,14
1,17,4,RBF-SVM,0.776595744680851,0.8085106382978723,0.7446808510638298,0.76,0.5543218625245872,0.7835051546391752,0.8033046627433227,38,35,12,9
1,17,4,Gradient Boosting,0.6595744680851063,0.6808510638297872,0.6382978723404256,0.6530612244897959,0.3194382824999699,0.6666666666666666,0.6912630149388864,32,30,17,15
1,17,4,Logistic Regression,0.6808510638297872,0.7446808510638298,0.6170212765957447,0.660377358490566,0.3646859721191225,0.7,0.7501131733816206,35,29,18,12
2,29,0,PCA64-SRC (initial reference),0.7368421052631579,0.75,0.723404255319149,0.7346938775510204,0.4736142372568729,0.7422680412371134,0.8098404255319149,36,34,13,12
2,29,0,AntiDMPpred-RF (reimplemented),0.6631578947368421,0.6458333333333334,0.6808510638297872,0.6739130434782609,0.3268293004291342,0.6595744680851063,0.7604166666666666,31,32,15,17
2,29,0,RBF-SVM,0.6947368421052632,0.6875,0.7021276595744681,0.7021276595744681,0.3896276595744681,0.6947368421052632,0.7916666666666667,33,33,14,15
2,29,0,Gradient Boosting,0.6421052631578947,0.5208333333333334,0.7659574468085106,0.6944444444444444,0.2955680435007753,0.5952380952380952,0.7282801418439716,25,36,11,23
