method,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
AntiDMPpred-RF (reimplemented),0.7300847457627119,0.011947349304976027,0.7161016949152542,0.7415254237288136,0.7627118644067796,0.01941769362269426,0.7288135593220338,0.7754237288135594,0.6974576271186441,0.01710731291371727,0.6694915254237288,0.7161016949152542,0.4612946530210481,0.023915224197499207,0.43234313836596366,0.4836765162277681,0.7385579677195174,0.01262740370678881,0.7196652719665272,0.7479338842975206,0.8063218184429761,0.0048711557141669455,0.800560183855214,0.8137029589198506
Gradient Boosting,0.6889830508474576,0.008123004030796964,0.6800847457627118,0.6991525423728814,0.6915254237288135,0.016789502335727926,0.673728813559322,0.7161016949152542,0.6864406779661018,0.005992430349038595,0.6822033898305084,0.6949152542372882,0.378029122260386,0.01630565767455423,0.3601727249204757,0.39853412736661586,0.6897001872700919,0.01057643768729579,0.6794055201698513,0.7041666666666667,0.7580400746911807,0.014892320893258025,0.7452240735420856,0.7766805515656421
Logistic Regression,0.7122881355932204,0.011250778006230259,0.6991525423728814,0.7245762711864406,0.7432203389830508,0.0181264827425487,0.7245762711864406,0.7711864406779662,0.6813559322033897,0.023285816379718754,0.6567796610169492,0.711864406779661,0.42559785615801526,0.022419442348012217,0.3992236332928067,0.4492977712430603,0.7208967526862047,0.010593297840458177,0.7090163934426229,0.7353535353535353,0.7685937948865268,0.011548936831412381,0.7513825050272911,0.7804510198218901
PCA64-SRC (initial reference),0.7843220338983051,0.01538024696006911,0.760593220338983,0.8008474576271186,0.7813559322033898,0.0288322471800068,0.7457627118644068,0.8177966101694916,0.7872881355932203,0.009186221774863865,0.7754237288135594,0.8008474576271186,0.5688547968390157,0.0307562144671027,0.5214158557062858,0.6020409158091431,0.7834923816086404,0.01814374263090296,0.7569892473118279,0.8041666666666667,0.8664464234415398,0.010438306376512043,0.8498455903476014,0.8770288710140764
RBF-SVM,0.775,0.008394751167864,0.7669491525423728,0.7860169491525424,0.764406779661017,0.0110494956020384,0.75,0.7796610169491526,0.785593220338983,0.011448522106869705,0.7711864406779662,0.7966101694915254,0.5501726773198758,0.01678131268834586,0.5339750091013882,0.5720801218140488,0.7725822674344703,0.008588141843892425,0.7649572649572649,0.7846481876332623,0.8436512496409078,0.0025692273192099084,0.8401680551565642,0.8470716029876472
