dimension,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
16,0.6838983050847458,0.029827017322674735,0.6546610169491526,0.7309322033898306,0.6703389830508475,0.03841704053099366,0.6186440677966102,0.7203389830508474,0.6974576271186441,0.028832247180006782,0.6610169491525424,0.7415254237288136,0.36805807638199284,0.05947075524264452,0.3101276884376899,0.4619680991343928,0.6793466944451083,0.032541525192564674,0.6417582417582418,0.728051391862955,0.7608122665900604,0.017626515145502394,0.7390656420568803,0.7863939959781672
32,0.7334745762711864,0.013349138984765599,0.7161016949152542,0.7521186440677966,0.7203389830508474,0.014981075872596332,0.7033898305084746,0.7415254237288136,0.7466101694915255,0.012133746663793504,0.7288135593220338,0.7627118644067796,0.4671145344682338,0.026671698628223113,0.43234313836596366,0.5043504935503921,0.7299094747691199,0.01391789460140166,0.7124463519313304,0.7494646680942184,0.813002729100833,0.010918167643735734,0.8009910945130708,0.8302391554151105
64,0.7843220338983051,0.01538024696006911,0.760593220338983,0.8008474576271186,0.7813559322033898,0.0288322471800068,0.7457627118644068,0.8177966101694916,0.7872881355932203,0.009186221774863865,0.7754237288135594,0.8008474576271186,0.5688547968390157,0.0307562144671027,0.5214158557062858,0.6020409158091431,0.7834923816086404,0.01814374263090296,0.7569892473118279,0.8041666666666667,0.8664464234415398,0.010438306376512043,0.8498455903476014,0.8770288710140764
128,0.7906779661016949,0.00852737788029578,0.7817796610169492,0.8029661016949152,0.8076271186440678,0.012207508721091479,0.7966101694915254,0.826271186440678,0.7737288135593221,0.012921992103370276,0.7584745762711864,0.7923728813559322,0.5817700611260218,0.01707931974423599,0.5638073886905366,0.6065914740369082,0.7941566195326433,0.008453246683478912,0.7849686847599165,0.8074534161490683,0.8799913817868429,0.007091934878452098,0.8710858948577995,0.8908180120654983
