repeat,seed,dimension,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,160,0.7309322033898306,0.7415254237288136,0.7203389830508474,0.7261410788381742,0.4619680991343928,0.7337526205450734,0.8076163458776213,175,170,66,61
1,17,160,0.7245762711864406,0.7372881355932204,0.711864406779661,0.71900826446281,0.4492977712430603,0.7280334728033473,0.79503016374605,174,168,68,62
2,29,160,0.7161016949152542,0.7161016949152542,0.7161016949152542,0.7161016949152542,0.4322033898305085,0.7161016949152542,0.7912417408790577,169,169,67,67
3,41,160,0.690677966101695,0.7033898305084746,0.6779661016949152,0.6859504132231405,0.38147923973467385,0.694560669456067,0.7824978454467106,166,160,76,70
4,53,160,0.7097457627118644,0.6991525423728814,0.7203389830508474,0.7142857142857143,0.41958570471839346,0.7066381156316917,0.7765907785119218,165,170,66,71
