repeat,seed,fold,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
3,41,0,RBF-SVM (520 descriptors),0.7291666666666666,0.6666666666666666,0.7916666666666666,0.7619047619047619,0.46195657812238883,0.7111111111111111,0.8116319444444444,32,38,10,16
3,41,0,AntiDMPpred-RF (reimplemented),0.6354166666666666,0.7083333333333334,0.5625,0.6181818181818182,0.27376005484272986,0.6601941747572816,0.730251736111111,34,27,21,14
3,41,1,PCA64-SRC,0.5851063829787234,0.6170212765957447,0.5531914893617021,0.58,0.17056057308448835,0.5979381443298969,0.6613852421910367,29,26,21,18
3,41,1,RBF-SVM (520 descriptors),0.7021276595744681,0.6382978723404256,0.7659574468085106,0.7317073170731707,0.40759020413313696,0.6818181818181818,0.7238569488456316,30,36,11,17
3,41,1,AntiDMPpred-RF (reimplemented),0.7021276595744681,0.7659574468085106,0.6382978723404256,0.6792452830188679,0.40759020413313696,0.72,0.7464916251697602,36,30,17,11
3,41,2,PCA64-SRC,0.6276595744680851,0.5957446808510638,0.6595744680851063,0.6363636363636364,0.25584085962673253,0.6153846153846154,0.6604798551380715,28,31,16,19
3,41,2,RBF-SVM (520 descriptors),0.5957446808510638,0.574468085106383,0.6170212765957447,0.6,0.19166296949998196,0.5869565217391305,0.6609325486645542,27,29,18,20
3,41,2,AntiDMPpred-RF (reimplemented),0.6382978723404256,0.6595744680851063,0.6170212765957447,0.6326530612244898,0.27684651149997397,0.6458333333333334,0.7111815301041196,31,29,18,16
3,41,3,PCA64-SRC,0.7340425531914894,0.7659574468085106,0.7021276595744681,0.72,0.469041575982343,0.7422680412371134,0.7867813490267089,36,33,14,11
3,41,3,RBF-SVM (520 descriptors),0.7446808510638298,0.8085106382978723,0.6808510638297872,0.7169811320754716,0.4933986681611658,0.76,0.7967406066093254,38,32,15,9
3,41,3,AntiDMPpred-RF (reimplemented),0.7127659574468085,0.7021276595744681,0.723404255319149,0.717391304347826,0.4256282653793743,0.7096774193548387,0.8171118153010413,33,34,13,14
3,41,4,PCA64-SRC,0.7021276595744681,0.6808510638297872,0.723404255319149,0.7111111111111111,0.4046218244999619,0.6956521739130435,0.8053417836124943,32,34,13,15
3,41,4,RBF-SVM (520 descriptors),0.776595744680851,0.6808510638297872,0.8723404255319149,0.8421052631578947,0.563621480190678,0.7529411764705882,0.8569488456315075,32,41,6,15
3,41,4,AntiDMPpred-RF (reimplemented),0.7446808510638298,0.723404255319149,0.7659574468085106,0.7555555555555555,0.4898053664999539,0.7391304347826086,0.8318243549117247,34,36,11,13
4,53,0,PCA64-SRC,0.6666666666666666,0.6041666666666666,0.7291666666666666,0.6904761904761905,0.3359684204526464,0.6444444444444445,0.7183159722222222,29,35,13,19
4,53,0,RBF-SVM (520 descriptors),0.6979166666666666,0.6041666666666666,0.7916666666666666,0.7435897435897436,0.40298034988465925,0.6666666666666666,0.7434895833333333,29,38,10,19
4,53,0,AntiDMPpred-RF (reimplemented),0.6666666666666666,0.6875,0.6458333333333334,0.66,0.3336230624913196,0.673469387755102,0.74609375,33,31,17,15
4,53,1,PCA64-SRC,0.723404255319149,0.7446808510638298,0.7021276595744681,0.7142857142857143,0.4472135954999579,0.7291666666666666,0.8071525577184245,35,33,14,12
4,53,1,RBF-SVM (520 descriptors),0.7340425531914894,0.7021276595744681,0.7659574468085106,0.75,0.469041575982343,0.7252747252747253,0.8021729289271163,33,36,11,14
4,53,1,AntiDMPpred-RF (reimplemented),0.723404255319149,0.7659574468085106,0.6808510638297872,0.7058823529411765,0.4484354928469312,0.7346938775510204,0.8325033952014487,36,32,15,11
4,53,2,PCA64-SRC,0.6914893617021277,0.6382978723404256,0.7446808510638298,0.7142857142857143,0.38516444325982163,0.6741573033707865,0.7732005432322318,30,35,12,17
4,53,2,RBF-SVM (520 descriptors),0.6702127659574468,0.6170212765957447,0.723404255319149,0.6904761904761905,0.3423683940087303,0.651685393258427,0.7464916251697601,29,34,13,18
4,53,2,AntiDMPpred-RF (reimplemented),0.5638297872340425,0.46808510638297873,0.6595744680851063,0.5789473684210527,0.130066495428618,0.5176470588235295,0.7286102308736985,22,31,16,25
4,53,3,PCA64-SRC,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.40425531914893614,0.7021276595744681,0.7546401086464464,33,33,14,14
4,53,3,RBF-SVM (520 descriptors),0.648936170212766,0.6595744680851063,0.6382978723404256,0.6458333333333334,0.297939785765562,0.6526315789473685,0.7206880941602535,31,30,17,16
4,53,3,AntiDMPpred-RF (reimplemented),0.6808510638297872,0.7446808510638298,0.6170212765957447,0.660377358490566,0.3646859721191225,0.7,0.7222725215029425,35,29,18,12
4,53,4,PCA64-SRC,0.6702127659574468,0.723404255319149,0.6170212765957447,0.6538461538461539,0.3423683940087303,0.6868686868686869,0.6772295156179265,34,29,18,13
4,53,4,RBF-SVM (520 descriptors),0.6914893617021277,0.7446808510638298,0.6382978723404256,0.6730769230769231,0.38516444325982163,0.7070707070707071,0.7804436396559529,35,30,17,12
4,53,4,AntiDMPpred-RF (reimplemented),0.723404255319149,0.8085106382978723,0.6382978723404256,0.6909090909090909,0.453425192941907,0.7450980392156863,0.7666364870982345,38,30,17,9
