method,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,mcc_mean,mcc_std,mcc_min,mcc_max,f1_mean,f1_std,f1_min,f1_max,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max
AntiDMPpred-RF (reimplemented),0.6817796610169491,0.010844477874635348,0.6694915254237288,0.6949152542372882,0.711864406779661,0.010379193825352422,0.6949152542372882,0.7203389830508474,0.6516949152542373,0.015967325153743044,0.6271186440677966,0.6694915254237288,0.36424834338252565,0.02155432156037433,0.34020690871988585,0.3903354341487251,0.6910862765069699,0.00977054502692054,0.6790890269151139,0.7024793388429752,0.7652470554438379,0.006136073922592443,0.7577743464521689,0.771644283251939
PCA64-SRC,0.6932203389830509,0.010740501572573391,0.6822033898305084,0.7055084745762712,0.6847457627118644,0.012569827944229938,0.6652542372881356,0.6991525423728814,0.7016949152542373,0.01762426639244526,0.673728813559322,0.7203389830508474,0.38656920337354916,0.0214739185613295,0.36445913319618556,0.41105016159972396,0.6905988956597708,0.010271894940672103,0.6781857451403888,0.7036247334754797,0.7610025854639472,0.012321359962667353,0.7438415685147945,0.773394857799483
RBF-SVM (520 descriptors),0.7055084745762712,0.01170059429786783,0.6885593220338984,0.7203389830508474,0.673728813559322,0.017211945772533835,0.6610169491525424,0.7033898305084746,0.7372881355932204,0.01498107587259636,0.711864406779661,0.75,0.41193024684816393,0.023387517662995856,0.37752895936562814,0.440931374958809,0.6957956620535721,0.01289093889337749,0.6811279826464208,0.7155172413793104,0.7712959638035047,0.011041429441947451,0.7577204826199369,0.7852449008905488
